Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue Jan 30 07:50:27 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,44.480624999999996,0.0,59.550000000000004,0.0,0.0,54.020896911621094,26.609283447265625,0.0,0,0,0,1,14.9692
Tue Jan 30 07:51:52 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.361875000000005,0.0,59.55375,0.0,0.0,53.94929504394531,26.564239501953125,0.0,1,0,0,1,14.9986
Tue Jan 30 07:52:02 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.358125,0.0,59.55375,0.0,0.0,53.94240188598633,26.5400390625,0.0,1,0,0,1,14.9986
Tue Jan 30 07:52:11 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.55375,0.0,0.0,53.93336486816406,26.499053955078125,0.0,1,0,0,1,15.002600000000001
Tue Jan 30 07:52:20 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.361875000000005,0.0,59.561249999999994,0.0,0.0,53.92315673828125,26.635833740234375,0.0,1,0,0,1,15.002600000000001
Tue Jan 30 07:52:30 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.561249999999994,0.0,0.0,53.91995620727539,26.59246826171875,0.0,1,0,0,1,15.005599999999998
Tue Jan 30 07:52:40 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.361875000000005,0.0,59.56875,0.0,0.0,53.90983963012695,26.48828125,0.0,1,0,0,1,15.005599999999998
Tue Jan 30 07:52:49 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.5575,0.0,0.0,53.90260696411133,26.60760498046875,0.0,1,0,0,1,15.0118
Tue Jan 30 07:52:59 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.365625,0.0,59.561249999999994,0.0,0.0,53.89704132080078,26.604949951171875,0.0,1,0,0,1,15.0118
Tue Jan 30 07:53:08 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.365625,0.0,59.561249999999994,0.0,0.0,53.88544845581055,26.448974609375,0.0,1,0,0,1,14.988800000000001
Tue Jan 30 07:53:18 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.5575,0.0,0.0,53.87541961669922,26.531646728515625,0.0,1,0,0,1,14.988800000000001
Tue Jan 30 07:53:27 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.5575,0.0,0.0,53.87683868408203,26.521240234375,0.0,1,0,0,1,15.0148
Tue Jan 30 07:53:37 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.365625,0.0,59.565,0.0,0.0,53.86872863769531,26.460418701171875,0.0,1,0,0,1,15.0148
Tue Jan 30 07:53:46 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.5575,0.0,0.0,53.857032775878906,26.546783447265625,0.0,1,0,0,1,15.002
Tue Jan 30 07:53:56 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.5575,0.0,0.0,53.85169982910156,26.557861328125,0.0,1,0,0,1,15.002
Tue Jan 30 07:54:05 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.365625,0.0,59.55375,0.0,0.0,53.84318542480469,26.44964599609375,0.0,1,0,0,1,15.000200000000001
Tue Jan 30 07:54:15 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.550000000000004,0.0,0.0,53.840293884277344,26.501068115234375,0.0,1,0,0,1,15.000200000000001
Tue Jan 30 07:54:24 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.55375,0.0,0.0,53.8361930847168,26.514495849609375,0.0,1,0,0,1,15.014199999999999
Tue Jan 30 07:54:34 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.565,0.0,0.0,53.82642364501953,26.480255126953125,0.0,1,0,0,1,15.014199999999999
Tue Jan 30 07:54:44 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.3675,0.0,59.550000000000004,0.0,0.0,53.823020935058594,26.510498046875,0.0,1,0,0,1,14.9988
Tue Jan 30 07:54:54 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.37125,0.0,59.56875,0.0,0.0,53.809532165527344,26.529632568359375,0.0,1,0,0,1,14.9988
Tue Jan 30 07:55:03 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.561249999999994,0.0,0.0,53.80406951904297,26.514190673828125,0.0,1,0,0,1,14.9886
Tue Jan 30 07:55:13 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.369375,0.0,59.55375,0.0,0.0,53.79256820678711,26.310150146484375,0.0,1,0,0,1,14.9886
Tue Jan 30 07:55:22 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.37125,0.0,59.55375,0.0,0.0,53.79145812988281,26.3316650390625,0.0,1,0,0,1,15.0064
Tue Jan 30 07:55:32 2024,24-002-04 bp,45.38065,0,59.5595,0,0,25.0,-1.0,0.0,3,0,0,1,15,45.373125,0.0,59.55375,0.0,0.0,53.77743911743164,26.288299560546875,0.0,1,0,0,1,15.0064
