Time,1,2,3,4,5,6
Thu Feb  1 00:10:29 2024,14.906,14.981,14.991,14.944,14.997,14.978
Thu Feb  1 00:11:54 2024,15.113,14.818,15.015,14.996,15.013,15.008
Thu Feb  1 00:12:13 2024,15.008,14.993,14.995,15.016,14.99,15.023
Thu Feb  1 00:12:32 2024,15.017,14.972,15.003,15.012,14.998,14.98
Thu Feb  1 00:12:51 2024,15.005,15.0,15.003,14.967,15.005,14.99
Thu Feb  1 00:13:10 2024,14.967,14.873,15.002,14.997,15.001,14.987
Thu Feb  1 00:13:29 2024,15.105,14.632,14.988,14.999,14.97,15.004
Thu Feb  1 00:13:49 2024,15.058,14.944,14.998,15.026,14.988,14.98
Thu Feb  1 00:14:08 2024,15.03,14.755,15.009,15.0,15.012,14.999
Thu Feb  1 00:14:27 2024,15.05,15.032,15.002,15.002,15.004,14.999
Thu Feb  1 00:14:46 2024,14.983,14.998,15.012,15.008,14.999,14.998
Thu Feb  1 00:15:05 2024,15.02,14.996,14.999,15.02,15.009,14.986
Thu Feb  1 00:15:24 2024,14.945,15.01,14.993,15.009,15.0,15.005
Thu Feb  1 00:15:43 2024,15.056,14.957,15.001,14.998,15.013,14.999
Thu Feb  1 00:16:02 2024,14.963,15.018,15.013,15.015,15.0,14.995
Thu Feb  1 00:17:27 2024,14.798,15.371,15.005,15.016,14.984,14.983
Thu Feb  1 00:17:46 2024,15.67,14.97,14.999,15.002,14.998,15.012
Thu Feb  1 00:18:05 2024,15.777,14.994,14.999,15.017,15.009,14.995
Thu Feb  1 00:18:25 2024,15.211,15.005,15.003,14.981,14.998,15.0
Thu Feb  1 00:18:44 2024,14.863,14.963,14.989,15.012,14.999,14.988
Thu Feb  1 00:19:03 2024,15.038,14.734,15.002,14.983,14.997,15.037
Thu Feb  1 00:19:22 2024,15.02,15.001,15.021,14.96,14.984,14.967
Thu Feb  1 00:19:41 2024,15.059,15.044,14.998,14.991,15.008,15.0
Thu Feb  1 00:20:00 2024,14.925,15.069,15.007,14.991,14.983,15.011
Thu Feb  1 00:20:19 2024,15.038,15.041,14.994,14.98,14.991,14.994
Thu Feb  1 00:20:38 2024,15.486,14.998,15.002,15.004,15.003,14.998
Thu Feb  1 00:20:57 2024,15.125,14.964,15.009,15.018,15.004,14.993
Thu Feb  1 00:21:16 2024,15.113,15.005,14.991,15.015,14.987,14.997
Thu Feb  1 00:21:35 2024,15.045,15.026,14.988,15.005,15.002,14.983
Thu Feb  1 00:23:00 2024,14.959,15.003,14.993,15.008,14.991,15.021
Thu Feb  1 00:23:15 2024,14.947,15.134,15.003,15.013,14.968,15.012
Thu Feb  1 00:23:30 2024,15.05,15.022,15.007,14.98,15.001,15.02
Thu Feb  1 00:23:45 2024,14.92,14.984,14.994,14.991,14.993,14.997
Thu Feb  1 00:24:00 2024,14.963,14.813,14.996,15.006,15.011,15.012
Thu Feb  1 00:24:15 2024,14.961,15.113,15.001,15.03,14.998,15.015
Thu Feb  1 00:24:30 2024,14.908,14.963,15.008,15.003,15.005,15.01
Thu Feb  1 00:24:46 2024,15.003,14.984,15.005,14.984,14.996,15.03
Thu Feb  1 00:25:01 2024,14.944,14.91,15.009,15.007,15.0,14.988
Thu Feb  1 00:25:16 2024,14.928,14.974,14.995,15.002,14.98,14.998
Thu Feb  1 00:25:39 2024,15.022,15.003,15.008,14.979,15.003,15.005
Thu Feb  1 00:25:58 2024,14.991,14.878,15.001,14.999,15.003,14.993
Thu Feb  1 00:26:17 2024,14.936,15.0,14.996,15.003,14.998,15.0
Thu Feb  1 00:26:36 2024,15.108,14.848,14.991,14.992,14.999,15.005
Thu Feb  1 00:26:55 2024,15.034,15.025,15.125,14.97,14.978,14.99
Thu Feb  1 00:27:13 2024,14.98,15.017,14.973,14.982,14.982,14.995
Thu Feb  1 00:27:32 2024,14.884,15.152,14.98,14.995,15.005,15.014
Thu Feb  1 00:27:52 2024,15.097,15.51,14.986,14.989,14.984,14.99
Thu Feb  1 00:28:10 2024,14.769,14.907,15.0,14.997,14.963,14.992
Thu Feb  1 00:28:29 2024,14.942,14.989,15.005,14.988,14.998,14.999
Thu Feb  1 00:29:55 2024,14.919,14.998,15.038,15.002,14.994,14.977
Thu Feb  1 00:30:14 2024,15.08,14.992,14.992,14.993,15.013,15.004
Thu Feb  1 00:30:33 2024,14.864,14.973,14.992,15.022,15.012,15.016
Thu Feb  1 00:30:52 2024,15.041,15.016,14.988,15.026,14.993,15.0
Thu Feb  1 00:31:11 2024,14.981,14.938,14.998,14.981,14.998,15.011
Thu Feb  1 00:31:30 2024,14.908,14.979,14.996,14.995,15.012,14.994
Thu Feb  1 00:31:49 2024,15.027,15.023,15.005,14.998,14.994,15.007
Thu Feb  1 00:32:09 2024,15.136,14.998,14.991,15.017,15.033,14.99
Thu Feb  1 00:32:28 2024,15.122,15.022,14.984,14.988,15.003,14.984
Thu Feb  1 00:32:47 2024,15.131,14.977,14.998,15.008,15.002,15.021
Thu Feb  1 00:33:06 2024,14.975,14.923,15.002,14.995,15.012,14.992
Thu Feb  1 00:33:25 2024,14.927,15.005,14.997,15.017,15.003,14.987
Thu Feb  1 00:33:44 2024,15.03,14.991,15.093,14.985,14.952,14.98
Thu Feb  1 00:34:03 2024,15.163,14.984,14.982,15.018,15.005,14.985
Thu Feb  1 00:35:29 2024,15.016,14.682,14.983,15.002,15.009,15.004
Thu Feb  1 00:35:48 2024,15.009,14.981,14.997,14.97,15.005,15.009
Thu Feb  1 00:36:07 2024,14.941,14.96,15.054,15.006,14.984,14.985
Thu Feb  1 00:36:26 2024,15.008,15.143,14.982,14.992,14.999,14.983
Thu Feb  1 00:36:45 2024,14.806,15.013,15.001,15.023,15.012,14.998
Thu Feb  1 00:37:04 2024,14.972,14.851,14.995,14.999,15.051,15.012
Thu Feb  1 00:37:23 2024,15.012,14.812,15.0,14.991,15.006,15.011
Thu Feb  1 00:37:42 2024,15.008,14.979,14.998,15.015,14.995,15.021
Thu Feb  1 00:38:01 2024,14.847,14.997,14.998,14.961,15.001,15.012
Thu Feb  1 00:38:21 2024,14.93,14.988,15.014,15.001,15.012,14.998
Thu Feb  1 00:38:40 2024,15.069,14.99,15.004,14.984,14.997,15.009
