Time,Current SP,R1,R2,R3,R4,R5,R6
Thu Feb  1 00:10:29 2024,25.0,81.67584228515625,83.06332397460938,-9999.0,-9999.0,-9999.0,82.69903564453125
Thu Feb  1 00:10:35 2024,25.0,81.545166015625,83.0421142578125,-9999.0,-9999.0,-9999.0,82.59152221679688
Thu Feb  1 00:10:41 2024,25.0,81.54745483398438,82.96856689453125,-9999.0,-9999.0,-9999.0,82.60427856445312
Thu Feb  1 00:10:47 2024,25.0,81.51382446289062,82.87808227539062,-9999.0,-9999.0,-9999.0,82.45269775390625
Thu Feb  1 00:10:53 2024,25.0,81.4713134765625,82.72189331054688,-9999.0,-9999.0,-9999.0,82.45657348632812
Thu Feb  1 00:10:59 2024,25.0,81.38119506835938,82.7833251953125,-9999.0,-9999.0,-9999.0,82.35171508789062
Thu Feb  1 00:11:04 2024,25.0,81.21231079101562,82.61013793945312,-9999.0,-9999.0,-9999.0,82.22695922851562
Thu Feb  1 00:11:10 2024,25.0,81.16787719726562,82.52783203125,-9999.0,-9999.0,-9999.0,82.16781616210938
Thu Feb  1 00:11:16 2024,25.0,81.11331176757812,82.53012084960938,-9999.0,-9999.0,-9999.0,82.09854125976562
Thu Feb  1 00:11:22 2024,25.0,81.0924072265625,82.43765258789062,-9999.0,-9999.0,-9999.0,82.1259765625
Thu Feb  1 00:11:28 2024,25.0,80.95068359375,82.3863525390625,-9999.0,-9999.0,-9999.0,81.94631958007812
Thu Feb  1 00:11:34 2024,25.0,80.90887451171875,82.2772216796875,-9999.0,-9999.0,-9999.0,81.89828491210938
Thu Feb  1 00:11:40 2024,25.0,80.86508178710938,82.2249755859375,-9999.0,-9999.0,-9999.0,81.96392822265625
Thu Feb  1 00:11:45 2024,25.0,80.89907836914062,82.22531127929688,-9999.0,-9999.0,-9999.0,81.92214965820312
Thu Feb  1 00:11:51 2024,25.0,80.72235107421875,82.18545532226562,-9999.0,-9999.0,-9999.0,81.84011840820312
Thu Feb  1 00:11:57 2024,25.0,80.71188354492188,82.05703735351562,-9999.0,-9999.0,-9999.0,81.69281005859375
Thu Feb  1 00:12:04 2024,25.0,80.72039794921875,82.08450317382812,-9999.0,-9999.0,-9999.0,81.7244873046875
Thu Feb  1 00:12:10 2024,25.0,80.54763793945312,81.95382690429688,-9999.0,-9999.0,-9999.0,81.59384155273438
Thu Feb  1 00:12:15 2024,25.0,80.4339599609375,81.87380981445312,-9999.0,-9999.0,-9999.0,81.57064819335938
Thu Feb  1 00:12:23 2024,25.0,80.47186279296875,81.8548583984375,-9999.0,-9999.0,-9999.0,81.47592163085938
Thu Feb  1 00:12:29 2024,25.0,80.39181518554688,81.77056884765625,-9999.0,-9999.0,-9999.0,81.37271118164062
Thu Feb  1 00:12:34 2024,25.0,80.26934814453125,81.59121704101562,-9999.0,-9999.0,-9999.0,81.29660034179688
Thu Feb  1 00:12:42 2024,25.0,80.26348876953125,81.61703491210938,-9999.0,-9999.0,-9999.0,81.30963134765625
Thu Feb  1 00:12:48 2024,25.0,80.25106811523438,81.5350341796875,-9999.0,-9999.0,-9999.0,81.1793212890625
Thu Feb  1 00:12:53 2024,25.0,80.18182373046875,81.5311279296875,-9999.0,-9999.0,-9999.0,81.17538452148438
Thu Feb  1 00:13:01 2024,25.0,79.95614624023438,81.35800170898438,-9999.0,-9999.0,-9999.0,81.069580078125
Thu Feb  1 00:13:07 2024,25.0,79.951904296875,81.31161499023438,-9999.0,-9999.0,-9999.0,80.98953247070312
Thu Feb  1 00:13:13 2024,25.0,79.96463012695312,81.29067993164062,-9999.0,-9999.0,-9999.0,80.94967651367188
Thu Feb  1 00:13:20 2024,25.0,79.84674072265625,81.24429321289062,-9999.0,-9999.0,-9999.0,80.78964233398438
Thu Feb  1 00:13:26 2024,25.0,79.78173828125,81.14141845703125,-9999.0,-9999.0,-9999.0,80.76675415039062
Thu Feb  1 00:13:32 2024,25.0,79.74191284179688,81.07217407226562,-9999.0,-9999.0,-9999.0,80.78799438476562
Thu Feb  1 00:13:39 2024,25.0,79.62991333007812,80.93270874023438,-9999.0,-9999.0,-9999.0,80.66748046875
Thu Feb  1 00:13:45 2024,25.0,79.499267578125,80.82525634765625,-9999.0,-9999.0,-9999.0,80.57473754882812
Thu Feb  1 00:13:51 2024,25.0,79.49075317382812,80.73672485351562,-9999.0,-9999.0,-9999.0,80.44833374023438
Thu Feb  1 00:13:59 2024,25.0,79.358154296875,80.77883911132812,-9999.0,-9999.0,-9999.0,80.38104248046875
Thu Feb  1 00:14:04 2024,25.0,79.24649047851562,80.61032104492188,-9999.0,-9999.0,-9999.0,80.31149291992188
Thu Feb  1 00:14:10 2024,25.0,79.29513549804688,80.5074462890625,-9999.0,-9999.0,-9999.0,80.31802368164062
Thu Feb  1 00:14:18 2024,25.0,79.20892333984375,80.549560546875,-9999.0,-9999.0,-9999.0,80.18963623046875
Thu Feb  1 00:14:24 2024,25.0,79.14590454101562,80.46759033203125,-9999.0,-9999.0,-9999.0,80.13510131835938
Thu Feb  1 00:14:29 2024,25.0,79.10833740234375,80.4910888671875,-9999.0,-9999.0,-9999.0,80.10800170898438
Thu Feb  1 00:14:37 2024,25.0,79.06655883789062,80.29779052734375,-9999.0,-9999.0,-9999.0,80.09365844726562
Thu Feb  1 00:14:43 2024,25.0,78.8555908203125,80.20468139648438,-9999.0,-9999.0,-9999.0,79.9920654296875
Thu Feb  1 00:14:48 2024,25.0,78.88726806640625,80.18997192382812,-9999.0,-9999.0,-9999.0,79.86373901367188
Thu Feb  1 00:14:56 2024,25.0,78.91079711914062,80.12301635742188,-9999.0,-9999.0,-9999.0,79.87677001953125
Thu Feb  1 00:15:02 2024,25.0,78.77593994140625,80.05966186523438,-9999.0,-9999.0,-9999.0,79.77127075195312
Thu Feb  1 00:15:07 2024,25.0,78.72988891601562,80.03680419921875,-9999.0,-9999.0,-9999.0,79.71481323242188
Thu Feb  1 00:15:15 2024,25.0,78.55255126953125,79.91207885742188,-9999.0,-9999.0,-9999.0,79.556396484375
Thu Feb  1 00:15:21 2024,25.0,78.44741821289062,79.92904663085938,-9999.0,-9999.0,-9999.0,79.55020141601562
Thu Feb  1 00:15:27 2024,25.0,78.45364379882812,79.7183837890625,-9999.0,-9999.0,-9999.0,79.448974609375
Thu Feb  1 00:15:34 2024,25.0,78.35208129882812,79.65896606445312,-9999.0,-9999.0,-9999.0,79.31375122070312
Thu Feb  1 00:15:40 2024,25.0,78.1962890625,79.6168212890625,-9999.0,-9999.0,-9999.0,79.26541137695312
Thu Feb  1 00:15:46 2024,25.0,78.20709228515625,79.55184936523438,-9999.0,-9999.0,-9999.0,79.2530517578125
Thu Feb  1 00:15:53 2024,25.0,78.17538452148438,79.42544555664062,-9999.0,-9999.0,-9999.0,79.1834716796875
Thu Feb  1 00:15:59 2024,25.0,78.13558959960938,79.44244384765625,-9999.0,-9999.0,-9999.0,79.04470825195312
Thu Feb  1 00:16:05 2024,25.0,78.03042602539062,79.29937744140625,-9999.0,-9999.0,-9999.0,79.02999877929688
