Time,Current SP,R1,R2,R3,R4,R5,R6
Fri Feb  2 13:30:18 2024,25.0,21.798614501953125,22.009552001953125,22.307525634765625,22.40972900390625,22.4293212890625,22.585845947265625
Fri Feb  2 13:30:25 2024,25.0,21.798614501953125,21.994384765625,22.366241455078125,22.400970458984375,22.464080810546875,22.542327880859375
Fri Feb  2 13:30:32 2024,25.0,21.875274658203125,22.090576171875,22.466796875,22.46240234375,22.3841552734375,22.72113037109375
Fri Feb  2 13:30:40 2024,25.0,21.83575439453125,22.124969482421875,22.379364013671875,22.47283935546875,22.4337158203125,22.629364013671875
Fri Feb  2 13:30:47 2024,25.0,21.859375,22.020355224609375,22.313934326171875,22.455291748046875,22.43572998046875,22.607421875
Fri Feb  2 13:30:54 2024,25.0,21.7786865234375,21.930877685546875,22.341888427734375,22.361480712890625,22.326751708984375,22.502838134765625
Fri Feb  2 13:31:02 2024,25.0,21.733123779296875,21.99200439453125,22.355072021484375,22.39422607421875,22.433349609375,22.589874267578125
Fri Feb  2 13:31:09 2024,25.0,21.80267333984375,21.9984130859375,22.3463134765625,22.44854736328125,22.38983154296875,22.6202392578125
Fri Feb  2 13:31:17 2024,25.0,21.85736083984375,22.013946533203125,22.4249267578125,22.464080810546875,22.444488525390625,22.624969482421875
Fri Feb  2 13:31:24 2024,25.0,21.876922607421875,22.018341064453125,22.488006591796875,22.488006591796875,22.5618896484375,22.6357421875
Fri Feb  2 13:31:32 2024,25.0,21.83135986328125,22.0858154296875,22.477203369140625,22.438079833984375,22.55548095703125,22.64892578125
Fri Feb  2 13:31:39 2024,25.0,21.83538818359375,22.04193115234375,22.402984619140625,22.476898193359375,22.555145263671875,22.589874267578125
Fri Feb  2 13:31:47 2024,25.0,21.868133544921875,21.989990234375,22.479248046875,22.494415283203125,22.631378173828125,22.674896240234375
Fri Feb  2 13:31:54 2024,25.0,21.8131103515625,21.974090576171875,22.25250244140625,22.4002685546875,22.595947265625,22.63507080078125
Fri Feb  2 13:32:02 2024,25.0,21.97918701171875,22.116180419921875,22.444488525390625,22.5618896484375,22.7227783203125,22.68365478515625
Fri Feb  2 13:32:09 2024,25.0,22.081817626953125,22.194854736328125,22.531890869140625,22.703582763671875,22.820953369140625,22.68402099609375
Fri Feb  2 13:32:17 2024,25.0,22.04229736328125,22.140167236328125,22.551116943359375,22.64892578125,22.8792724609375,22.6988525390625
Fri Feb  2 13:32:24 2024,25.0,22.081451416015625,22.238037109375,22.511962890625,22.71197509765625,22.94671630859375,22.809783935546875
