Time,1,2,3,4,5,6
Tue Feb  6 15:00:24 2024,14.403,15.17,15.09,15.041,14.931,14.905
Tue Feb  6 15:00:43 2024,15.205,14.88,15.001,14.992,14.981,14.988
Tue Feb  6 15:01:02 2024,15.142,15.211,15.008,15.037,15.012,15.02
Tue Feb  6 15:02:37 2024,14.998,14.959,14.998,14.986,14.99,15.0
Tue Feb  6 15:02:56 2024,15.008,15.587,14.988,14.998,15.007,15.003
Tue Feb  6 15:03:15 2024,15.0,14.84,15.001,14.994,14.993,14.998
Tue Feb  6 15:03:34 2024,14.97,14.95,15.004,15.001,15.003,14.996
Tue Feb  6 15:03:53 2024,15.005,15.067,14.998,14.988,14.998,14.997
Tue Feb  6 15:04:12 2024,14.903,15.171,14.995,15.005,14.993,14.989
Tue Feb  6 15:04:31 2024,14.994,14.949,14.998,14.987,14.998,15.003
Tue Feb  6 15:04:50 2024,15.006,15.087,15.003,14.998,14.998,14.994
Tue Feb  6 15:05:09 2024,14.997,15.057,14.998,14.995,14.998,15.014
Tue Feb  6 15:05:28 2024,15.003,14.886,15.0,14.989,15.001,15.001
Tue Feb  6 15:05:47 2024,14.997,15.001,15.003,15.0,15.01,14.995
Tue Feb  6 15:06:06 2024,14.994,14.843,14.998,15.005,14.996,15.01
Tue Feb  6 15:06:25 2024,15.017,15.13,15.002,15.005,15.002,14.998
Tue Feb  6 15:06:44 2024,14.989,14.873,15.001,15.001,14.996,15.0
Tue Feb  6 15:08:09 2024,15.002,14.834,15.052,15.002,14.984,14.995
Tue Feb  6 15:08:29 2024,15.012,14.873,15.0,14.997,15.001,15.0
Tue Feb  6 15:08:48 2024,15.003,14.828,14.997,14.998,14.997,15.006
Tue Feb  6 15:09:08 2024,14.989,15.141,15.001,14.995,14.998,14.992
Tue Feb  6 15:09:27 2024,15.002,14.906,15.002,15.0,15.002,15.004
Tue Feb  6 15:09:46 2024,15.0,15.049,15.0,14.999,14.998,15.003
Tue Feb  6 15:10:06 2024,15.0,15.056,15.002,15.002,15.0,14.998
Tue Feb  6 15:10:25 2024,14.997,14.927,15.002,14.995,14.999,15.002
Tue Feb  6 15:10:45 2024,15.0,15.426,15.004,15.004,15.005,15.005
Tue Feb  6 15:11:04 2024,15.003,14.74,14.99,15.007,15.009,15.004
Tue Feb  6 15:11:23 2024,15.002,14.923,15.002,14.999,14.998,15.001
Tue Feb  6 15:11:43 2024,15.005,14.92,14.998,14.996,14.999,15.002
Tue Feb  6 15:12:02 2024,14.997,15.264,15.004,15.002,15.005,15.002
Tue Feb  6 15:12:21 2024,15.005,14.854,14.998,15.011,15.0,14.996
Tue Feb  6 15:13:47 2024,15.008,15.23,15.0,15.002,15.001,15.005
Tue Feb  6 15:14:06 2024,15.016,15.01,15.0,14.999,15.002,14.996
Tue Feb  6 15:14:25 2024,15.006,14.82,15.003,14.998,15.006,14.999
Tue Feb  6 15:14:44 2024,15.008,14.734,15.0,15.008,14.99,15.003
Tue Feb  6 15:15:03 2024,14.991,15.026,15.001,14.997,14.998,14.999
Tue Feb  6 15:15:22 2024,15.005,14.839,15.0,14.995,15.002,14.998
Tue Feb  6 15:15:41 2024,15.039,15.104,14.998,15.002,14.997,14.995
Tue Feb  6 15:16:00 2024,15.0,15.027,15.002,15.0,14.997,14.999
Tue Feb  6 15:16:20 2024,14.998,15.141,15.002,14.996,15.0,15.005
Tue Feb  6 15:16:39 2024,15.006,14.768,15.0,14.998,14.996,14.995
Tue Feb  6 15:16:58 2024,14.994,15.016,15.001,15.004,15.002,14.997
Tue Feb  6 15:17:17 2024,14.998,15.098,15.001,14.995,15.002,15.008
Tue Feb  6 15:17:36 2024,14.995,14.929,14.998,15.009,14.998,15.002
Tue Feb  6 15:17:55 2024,15.005,14.892,15.003,14.999,15.002,15.003
Tue Feb  6 15:19:19 2024,14.997,15.022,14.999,14.994,15.001,14.997
Tue Feb  6 15:19:38 2024,15.002,14.752,14.998,15.008,14.995,15.002
Tue Feb  6 15:19:58 2024,14.995,15.093,14.999,14.997,15.004,15.005
Tue Feb  6 15:20:17 2024,14.994,15.101,15.0,15.007,15.002,14.997
Tue Feb  6 15:20:37 2024,14.995,14.995,15.002,14.998,15.003,14.998
Tue Feb  6 15:20:56 2024,14.995,14.752,14.999,15.004,14.991,15.001
Tue Feb  6 15:21:16 2024,15.0,14.976,15.0,14.997,15.002,15.006
Tue Feb  6 15:21:35 2024,14.998,14.954,14.999,14.999,15.006,14.995
Tue Feb  6 15:21:54 2024,14.998,14.777,14.997,15.005,14.998,15.0
Tue Feb  6 15:22:14 2024,14.991,15.159,15.0,14.995,14.996,15.001
Tue Feb  6 15:22:33 2024,15.002,14.944,14.998,14.995,15.003,15.003
Tue Feb  6 15:22:52 2024,14.995,14.883,15.0,15.004,15.0,14.998
Tue Feb  6 15:23:12 2024,15.002,14.907,14.999,15.002,15.0,14.996
Tue Feb  6 15:23:31 2024,15.002,14.885,14.998,14.995,15.001,15.007
Tue Feb  6 15:24:56 2024,15.003,14.865,15.001,14.996,15.004,15.005
Tue Feb  6 15:25:16 2024,15.003,15.01,15.0,15.005,15.001,14.998
Tue Feb  6 15:25:35 2024,14.997,14.894,14.999,14.998,14.999,14.998
Tue Feb  6 15:25:54 2024,15.011,14.844,15.001,14.998,15.002,15.003
Tue Feb  6 15:26:13 2024,14.998,15.234,14.998,15.004,14.993,15.001
Tue Feb  6 15:26:32 2024,15.0,15.009,15.0,14.998,14.998,15.0
Tue Feb  6 15:26:51 2024,14.995,14.971,14.999,14.995,14.998,14.995
Tue Feb  6 15:27:11 2024,15.0,14.898,14.995,15.001,14.995,14.997
Tue Feb  6 15:27:30 2024,15.0,14.851,15.001,14.994,15.004,15.004
Tue Feb  6 15:27:49 2024,14.998,14.938,14.998,15.002,15.003,15.003
