Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-005-02 reduxn rxn bp,inficon_gc,1697f8cf-cd37-4641-98bf-844d2f007049,1707253349.8970692,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,a4deea34-acad-423c-ab8e-bc71a47fbf59,1707253682.5483334,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,bd6c354f-09da-450b-b62f-4402e9f96eea,1707254019.8294098,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,02f861db-2154-4edb-95d8-16c700b81669,1707254352.7328427,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,13f9cc9c-0ea6-46af-beb2-f85613f69fce,1707254689.7969782,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,729683ff-5964-4da2-a767-2480f364f129,1707255023.2271967,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,58b90cce-8054-4366-8321-7d05ff71e628,1707255361.3638933,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,18b61534-36d6-432c-93a6-c0a55c68b7e0,1707255694.7884507,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,4a5be89c-509a-4d83-8a8c-bc9dc5104b08,1707256038.0001898,0.0,0,119.119,0,0,551.7188110351562,1.0,0.0,9,0,0,1,15
24-005-02 reduxn rxn bp,inficon_gc,0fa3360c-5cd0-4b5c-bddc-f2fbd45a13e8,1707256609.8184276,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,2,0,3,1,15
24-005-02 reduxn rxn bp,inficon_gc,fc095d32-59d7-4206-87b8-782abacace9b,1707256942.6683962,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,2,0,3,1,15
24-005-02 reduxn rxn bp,inficon_gc,206d8ea2-6b6d-41b7-bcc3-16334b477bae,1707257275.6784663,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,2,15
24-005-02 reduxn rxn bp,inficon_gc,128e01a8-2e2d-4078-842b-2271ead1b55b,1707257615.1601248,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,3,15
24-005-02 reduxn rxn bp,inficon_gc,dafa18a0-c4a2-4c74-be89-517a5ffb557d,1707257954.9690351,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,4,15
24-005-02 reduxn rxn bp,inficon_gc,2ee3793b-1ddd-4c47-97bd-d092a0e58d25,1707258294.5748441,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,5,15
24-005-02 reduxn rxn bp,inficon_gc,647be29a-d87a-4247-b01e-2667d12af343,1707258634.0839317,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,6,15
24-005-02 reduxn rxn bp,inficon_gc,1e0aff33-31e9-4874-9361-f143285871d1,1707258974.0506854,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,1,15
24-005-02 reduxn rxn bp,inficon_gc,0b1a459b-08c4-4031-acf7-3f4cde0d4582,1707259315.0006762,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,2,15
24-005-02 reduxn rxn bp,inficon_gc,a5907ed0-47a2-4c44-8793-3607370c24e4,1707259648.2593813,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,3,15
24-005-02 reduxn rxn bp,inficon_gc,51240ea9-00c1-42db-86bc-d1ca58a9f628,1707259981.9718273,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,4,15
24-005-02 reduxn rxn bp,inficon_gc,b11ba699-2e80-4759-8615-21a1ed0a1eed,1707260314.7318,57.2025,0,75.075,0,0,551.7188110351562,-1.0,0.0,1,0,3,5,15
