Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue Feb  6 15:00:22 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,25.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.14874999999999,0.0,0.0,549.8741455078125,547.70068359375,0.0,0,0,0,1,14.923333333333332
Tue Feb  6 15:00:32 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.1075,0.0,0.0,549.6265258789062,546.8358154296875,0.0,0,0,0,1,14.923333333333332
Tue Feb  6 15:00:41 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.5147705078125,546.7542724609375,0.0,0,0,0,1,15.007833333333332
Tue Feb  6 15:00:51 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.10000000000001,0.0,0.0,549.535400390625,547.224853515625,0.0,0,0,0,1,15.007833333333332
Tue Feb  6 15:01:00 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12625,0.0,0.0,549.5892944335938,547.518798828125,0.0,0,0,0,1,15.071666666666665
Tue Feb  6 15:01:10 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,549.561279296875,547.3033447265625,0.0,0,0,0,1,15.071666666666665
Tue Feb  6 15:02:34 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11875,0.0,0.0,545.5459594726562,536.372802734375,0.0,1,0,0,1,14.9885
Tue Feb  6 15:02:44 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11125000000001,0.0,0.0,545.4104614257812,537.07373046875,0.0,1,0,0,1,14.9885
Tue Feb  6 15:02:53 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,545.3995971679688,538.2098388671875,0.0,1,0,0,1,15.0985
Tue Feb  6 15:03:03 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,545.533935546875,539.9993896484375,0.0,1,0,0,1,15.0985
