Time,1,2,3,4,5,6
Thu Feb  8 11:55:03 2024,13.547,14.669,14.908,14.947,14.944,14.697
Thu Feb  8 11:55:18 2024,15.111,14.973,15.002,15.013,15.002,14.999
Thu Feb  8 11:55:33 2024,14.978,14.971,14.998,15.005,15.009,14.996
Thu Feb  8 11:55:48 2024,14.958,14.923,14.982,15.006,15.022,15.01
Thu Feb  8 11:56:03 2024,15.002,14.964,15.0,15.004,15.002,14.993
Thu Feb  8 11:56:17 2024,15.002,14.898,15.002,14.996,15.014,14.995
Thu Feb  8 11:56:32 2024,14.988,14.736,14.991,15.005,15.017,15.007
Thu Feb  8 11:56:47 2024,15.006,15.14,14.997,14.995,15.005,15.005
Thu Feb  8 11:57:02 2024,15.014,15.044,14.998,15.001,15.001,15.009
Thu Feb  8 11:57:17 2024,15.008,15.188,15.0,15.0,15.0,14.998
Thu Feb  8 11:57:32 2024,14.956,14.859,14.997,15.003,14.991,15.003
Thu Feb  8 11:57:47 2024,14.994,15.063,14.999,14.998,15.0,15.002
Thu Feb  8 11:58:02 2024,15.012,15.008,15.002,15.002,14.997,15.002
Thu Feb  8 11:58:17 2024,15.014,15.001,14.998,15.002,15.005,14.995
Thu Feb  8 11:58:32 2024,15.103,14.961,15.002,14.998,15.0,15.0
Thu Feb  8 11:58:46 2024,15.137,15.09,14.995,15.002,14.998,15.022
Thu Feb  8 11:59:01 2024,15.028,15.052,15.03,14.998,14.995,15.002
Thu Feb  8 11:59:16 2024,15.02,14.997,15.002,14.997,15.009,15.001
Thu Feb  8 11:59:31 2024,14.955,14.875,15.001,15.001,15.005,14.985
Thu Feb  8 11:59:46 2024,15.028,15.066,14.999,14.998,15.002,15.001
Thu Feb  8 12:00:01 2024,14.972,15.068,15.002,14.997,14.995,14.991
Thu Feb  8 12:00:17 2024,14.936,15.122,15.002,15.004,15.008,15.001
Thu Feb  8 12:01:42 2024,15.022,15.009,15.001,14.998,14.999,15.0
Thu Feb  8 12:02:01 2024,15.025,15.073,14.997,14.999,15.003,14.998
Thu Feb  8 12:02:20 2024,14.963,15.027,14.998,15.001,14.999,14.998
Thu Feb  8 12:02:39 2024,14.948,15.015,15.003,14.998,14.995,15.0
Thu Feb  8 12:02:59 2024,14.95,14.859,15.001,14.999,14.998,14.998
Thu Feb  8 12:03:18 2024,14.953,14.916,14.998,14.998,14.996,15.001
Thu Feb  8 12:03:37 2024,14.989,15.004,14.998,14.998,15.002,14.999
Thu Feb  8 12:03:56 2024,15.025,15.042,14.999,14.998,14.996,14.995
Thu Feb  8 12:04:15 2024,14.972,14.999,15.0,14.998,15.012,15.001
Thu Feb  8 12:04:35 2024,14.972,15.005,15.0,15.002,14.995,15.002
Thu Feb  8 12:04:54 2024,15.033,15.041,15.0,15.0,15.004,15.002
Thu Feb  8 12:05:13 2024,15.113,15.039,14.999,14.998,15.002,15.0
Thu Feb  8 12:05:32 2024,14.992,15.034,14.999,15.002,15.001,15.0
Thu Feb  8 12:05:51 2024,14.989,15.042,14.996,15.001,15.002,14.998
Thu Feb  8 12:06:10 2024,14.963,15.042,14.999,15.001,15.004,14.998
Thu Feb  8 12:06:29 2024,15.027,15.053,15.001,15.0,15.005,15.005
Thu Feb  8 12:06:48 2024,14.964,15.078,14.998,14.999,14.998,14.999
Thu Feb  8 12:07:07 2024,15.019,14.965,14.998,14.995,14.997,15.0
Thu Feb  8 12:07:26 2024,14.966,14.977,15.003,14.999,15.002,14.998
Thu Feb  8 12:07:45 2024,14.97,15.022,15.0,14.999,15.001,14.992
Thu Feb  8 12:08:04 2024,14.973,15.03,14.998,15.001,14.996,14.991
Thu Feb  8 12:08:23 2024,14.972,15.012,15.0,14.998,14.997,15.002
Thu Feb  8 12:09:48 2024,15.014,15.066,14.998,14.998,14.998,15.003
Thu Feb  8 12:10:07 2024,15.002,15.033,15.006,15.001,15.007,15.007
Thu Feb  8 12:10:27 2024,15.125,15.055,14.999,14.999,14.998,14.998
Thu Feb  8 12:10:46 2024,14.963,15.034,15.0,14.999,15.001,14.998
Thu Feb  8 12:11:05 2024,14.995,14.935,15.0,14.998,14.998,15.004
Thu Feb  8 12:11:24 2024,15.016,15.006,15.0,14.999,14.999,14.998
Thu Feb  8 12:11:43 2024,15.005,15.012,15.0,15.001,15.0,15.002
Thu Feb  8 12:12:02 2024,15.02,15.014,15.0,14.998,14.998,14.999
Thu Feb  8 12:12:22 2024,15.0,15.007,15.002,15.002,14.999,14.998
Thu Feb  8 12:12:41 2024,15.014,15.008,15.0,15.003,15.003,15.0
Thu Feb  8 12:13:00 2024,15.019,14.991,14.999,15.002,15.0,15.003
Thu Feb  8 12:13:19 2024,15.027,14.958,15.006,14.995,14.986,15.008
Thu Feb  8 12:13:38 2024,15.0,14.904,15.001,14.999,15.0,14.998
Thu Feb  8 12:13:57 2024,15.012,14.859,15.003,15.005,15.005,14.999
Thu Feb  8 12:14:17 2024,15.12,14.895,15.001,15.0,14.987,14.999
Thu Feb  8 12:14:36 2024,14.975,14.867,15.002,14.998,15.002,14.998
Thu Feb  8 12:14:55 2024,14.981,14.875,15.0,14.996,14.998,15.002
Thu Feb  8 12:15:14 2024,15.022,14.893,14.998,14.999,15.006,15.002
Thu Feb  8 12:15:33 2024,15.014,14.999,15.002,14.998,15.002,15.0
Thu Feb  8 12:15:52 2024,15.038,15.04,14.996,15.002,15.002,14.999
Thu Feb  8 12:16:11 2024,14.958,14.998,15.0,15.005,15.001,14.998
Thu Feb  8 12:16:30 2024,15.055,14.864,15.0,15.0,15.0,14.998
Thu Feb  8 12:17:55 2024,15.059,14.995,14.998,15.0,15.0,15.003
Thu Feb  8 12:18:14 2024,14.958,15.18,14.998,15.002,14.998,15.001
Thu Feb  8 12:18:33 2024,15.128,15.02,15.003,14.997,14.999,15.002
Thu Feb  8 12:18:53 2024,14.994,15.012,15.002,14.997,15.002,14.998
Thu Feb  8 12:19:12 2024,14.958,14.868,15.001,15.004,14.999,14.998
Thu Feb  8 12:19:31 2024,15.019,15.062,15.0,14.999,15.0,14.998
Thu Feb  8 12:19:50 2024,14.984,14.996,15.002,14.999,15.005,15.005
Thu Feb  8 12:20:09 2024,15.003,14.977,15.003,15.002,15.0,15.0
Thu Feb  8 12:20:28 2024,15.014,15.001,15.001,15.001,15.0,15.002
Thu Feb  8 12:20:47 2024,15.02,15.26,15.001,15.0,14.996,15.002
Thu Feb  8 12:21:06 2024,14.964,15.018,14.999,14.998,15.004,14.998
Thu Feb  8 12:21:25 2024,15.009,15.066,14.999,15.002,14.999,15.0
Thu Feb  8 12:21:44 2024,15.122,14.913,14.995,14.996,14.991,14.995
Thu Feb  8 12:22:03 2024,15.088,14.989,15.001,14.998,14.999,15.0
Thu Feb  8 12:22:22 2024,14.961,14.889,15.0,15.002,15.001,15.004
Thu Feb  8 12:22:41 2024,15.0,14.991,14.998,14.999,15.004,14.999
Thu Feb  8 12:23:00 2024,14.969,15.053,14.999,15.003,15.002,15.002
Thu Feb  8 12:23:19 2024,15.025,15.009,14.996,14.998,14.998,15.0
Thu Feb  8 12:23:38 2024,14.975,14.966,14.999,14.999,15.0,14.998
Thu Feb  8 12:23:57 2024,15.02,14.92,15.0,15.0,15.0,14.997
Thu Feb  8 12:24:16 2024,15.003,14.993,15.0,15.0,15.001,15.0
Thu Feb  8 12:24:35 2024,14.977,14.966,14.998,14.998,14.993,14.998
Thu Feb  8 12:26:00 2024,15.0,15.059,15.0,14.999,14.998,15.0
Thu Feb  8 12:26:19 2024,15.0,14.984,15.0,15.0,15.001,15.002
Thu Feb  8 12:26:38 2024,15.005,15.023,14.998,15.0,14.998,14.999
Thu Feb  8 12:26:57 2024,15.008,14.999,15.001,14.999,15.002,15.002
Thu Feb  8 12:27:16 2024,15.014,14.979,14.999,14.999,15.001,15.002
Thu Feb  8 12:27:35 2024,15.014,14.874,14.998,15.002,15.002,14.999
Thu Feb  8 12:27:54 2024,15.002,15.058,15.001,15.002,14.997,14.998
Thu Feb  8 12:28:13 2024,15.0,15.067,15.003,15.003,15.005,15.003
Thu Feb  8 12:28:33 2024,14.994,14.944,14.998,15.002,15.002,14.999
Thu Feb  8 12:28:52 2024,15.025,15.012,14.999,14.999,14.999,14.999
Thu Feb  8 12:29:11 2024,14.972,14.989,15.0,14.999,15.0,15.0
Thu Feb  8 12:29:30 2024,15.0,14.868,15.001,15.001,15.001,15.006
Thu Feb  8 12:29:49 2024,15.019,15.073,14.998,15.0,14.995,14.998
Thu Feb  8 12:30:08 2024,14.948,15.019,15.0,15.001,14.997,15.002
Thu Feb  8 12:30:27 2024,15.023,14.952,15.002,14.998,15.003,15.001
Thu Feb  8 12:30:46 2024,14.948,15.259,15.002,14.998,14.997,14.996
Thu Feb  8 12:31:05 2024,15.0,14.965,14.999,15.0,14.998,15.0
Thu Feb  8 12:31:24 2024,15.009,14.979,15.0,14.998,15.001,15.0
Thu Feb  8 12:31:43 2024,14.956,15.106,15.001,15.002,15.003,15.002
