Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Thu Feb  8 11:55:01 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,73.72125,50.763221740722656,22.94970703125,0.0,0,0,0,1,14.618666666666668
Thu Feb  8 11:55:09 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.0175,50.75682830810547,22.98883056640625,0.0,0,0,0,1,14.618666666666668
Thu Feb  8 11:55:16 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.0625,50.759254455566406,22.94970703125,0.0,0,0,0,1,15.016666666666666
Thu Feb  8 11:55:23 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.0625,50.75684356689453,23.012359619140625,0.0,0,0,0,1,15.016666666666666
Thu Feb  8 11:55:31 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.06625000000001,50.757965087890625,22.895416259765625,0.0,0,0,0,1,14.992833333333332
Thu Feb  8 11:55:38 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.11125000000001,50.76353454589844,23.0191650390625,0.0,0,0,0,1,14.992833333333332
Thu Feb  8 11:55:45 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.145,50.75907516479492,22.918975830078125,0.0,0,0,0,1,14.983500000000001
Thu Feb  8 11:55:53 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.16749999999999,50.75730895996094,22.877838134765625,0.0,0,0,0,1,14.983500000000001
Thu Feb  8 11:56:00 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.16,50.75667953491211,23.015167236328125,0.0,0,0,0,1,14.994166666666665
Thu Feb  8 11:56:08 2024,24-006 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.12625,50.76731872558594,23.054290771484375,0.0,0,0,0,1,14.994166666666665
