Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-007 reduxn rxn bp,inficon_gc,72e786fc-8b0f-4440-8e51-6d0cc6244810,1707777667.5239215,0.0,0,75.075,0,74.0925,53.191097259521484,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,e0e804e8-93ec-40fe-9cdd-cbdbd1557821,1707778154.0701003,0.0,0,75.075,0,74.0925,215.40040588378906,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,fc3dab17-fcf2-431b-8104-ca6c150745fc,1707778638.816771,0.0,0,75.075,0,74.0925,376.7220153808594,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,90867770-ac97-43c6-bb35-a0f77f7bf8ae,1707779125.839553,0.0,0,75.075,0,74.0925,539.2606201171875,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,3bd2217c-1c12-485a-bef0-bd07e1dcd1ef,1707779610.7506044,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,9b515c7c-e0a5-4b77-ab72-8bc1d0daa847,1707780098.1205435,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,ca46c075-7c66-4b51-b0c8-db0cbf495ddb,1707780582.730855,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-007 reduxn rxn bp,inficon_gc,c5d6b886-2581-4d35-9c99-64e84db44e85,1707782856.308379,0.0,0,119.119,0,0.0,550.0,1.0,0.0,9,0,0,1,15
24-007 reduxn rxn bp,inficon_gc,6f1ded24-7bff-4641-9f83-38ed0824a1e2,1707783194.671921,0.0,0,119.119,0,0.0,551.6671142578125,1.0,0.0,9,0,0,1,15
24-007 reduxn rxn bp,inficon_gc,dced0452-9776-4634-9c80-b62fa7eb368b,1707783527.8483827,0.0,0,119.119,0,0.0,551.6671142578125,1.0,0.0,9,0,0,1,15
24-007 reduxn rxn bp,inficon_gc,8fcb576b-ce36-4a63-9e3b-3ee47fb487fb,1707783861.5497825,0.0,0,119.119,0,0.0,551.6671142578125,1.0,0.0,9,0,0,1,15
24-007 reduxn rxn bp,inficon_gc,3fbcf8af-6b83-4181-8a1b-d4b83622a0b1,1707784195.0985615,0.0,0,119.119,0,0.0,551.6671142578125,1.0,0.0,9,0,0,1,15
