Time,1,2,3,4
Wed Feb 14 16:26:57 2024,15.002,14.992,14.999,15.002
Wed Feb 14 16:27:11 2024,15.003,14.999,14.998,15.002
Wed Feb 14 16:27:26 2024,15.003,15.003,15.0,14.999
Wed Feb 14 16:27:41 2024,15.002,14.995,15.0,15.004
Wed Feb 14 16:27:56 2024,14.997,14.996,15.001,15.002
Wed Feb 14 16:28:11 2024,15.003,15.0,15.0,15.001
Wed Feb 14 16:28:26 2024,15.0,15.007,14.999,14.999
Wed Feb 14 16:28:41 2024,15.0,15.003,15.002,15.0
Wed Feb 14 16:28:56 2024,14.998,14.998,15.002,15.001
Wed Feb 14 16:29:10 2024,15.0,14.998,14.998,15.002
Wed Feb 14 16:29:25 2024,14.998,15.005,14.998,14.999
Wed Feb 14 16:29:40 2024,14.998,14.992,14.999,15.001
Wed Feb 14 16:29:55 2024,14.998,14.988,15.003,15.001
Wed Feb 14 16:30:10 2024,14.997,14.997,14.998,14.999
Wed Feb 14 16:30:25 2024,15.003,15.003,14.998,14.997
Wed Feb 14 16:30:40 2024,15.002,14.999,15.002,15.001
Wed Feb 14 16:30:54 2024,15.0,15.005,14.999,15.001
Wed Feb 14 16:31:09 2024,14.998,14.999,15.002,14.995
Wed Feb 14 16:31:24 2024,15.0,14.994,15.003,15.0
Wed Feb 14 16:31:39 2024,14.998,15.02,14.998,14.995
Wed Feb 14 16:31:54 2024,14.998,15.001,15.002,15.002
Wed Feb 14 16:32:09 2024,14.998,15.008,14.998,15.002
Wed Feb 14 16:33:35 2024,15.0,15.001,14.999,15.0
Wed Feb 14 16:33:54 2024,15.0,14.998,15.0,15.001
Wed Feb 14 16:34:13 2024,15.0,14.972,15.003,15.004
Wed Feb 14 16:34:32 2024,15.0,14.987,15.001,15.001
Wed Feb 14 16:34:50 2024,14.998,15.001,15.0,14.998
Wed Feb 14 16:35:09 2024,15.0,15.01,14.999,14.999
Wed Feb 14 16:35:28 2024,15.0,15.002,15.0,14.999
Wed Feb 14 16:35:47 2024,15.002,14.996,14.998,15.002
Wed Feb 14 16:36:07 2024,15.002,15.004,14.999,15.002
Wed Feb 14 16:36:26 2024,14.998,14.996,15.0,15.002
Wed Feb 14 16:36:46 2024,14.998,15.014,15.0,14.994
Wed Feb 14 16:37:05 2024,15.0,14.996,14.999,15.001
Wed Feb 14 16:37:23 2024,15.0,14.992,14.999,15.002
Wed Feb 14 16:37:42 2024,15.002,14.985,14.999,14.999
Wed Feb 14 16:38:01 2024,15.002,15.002,14.999,14.999
Wed Feb 14 16:38:20 2024,15.002,15.0,15.0,15.006
Wed Feb 14 16:38:39 2024,14.998,15.009,14.998,15.002
Wed Feb 14 16:38:58 2024,15.002,15.001,15.0,14.998
Wed Feb 14 16:39:17 2024,14.998,15.002,15.0,14.998
Wed Feb 14 16:39:36 2024,15.0,15.0,15.001,15.001
Wed Feb 14 16:39:55 2024,15.011,15.0,15.002,15.002
Wed Feb 14 16:40:14 2024,14.998,15.0,14.999,15.003
Wed Feb 14 16:41:39 2024,14.995,15.009,14.998,14.999
Wed Feb 14 16:41:58 2024,14.997,15.002,15.0,15.002
Wed Feb 14 16:42:17 2024,15.0,15.0,15.001,15.0
Wed Feb 14 16:42:36 2024,15.0,14.991,15.003,14.999
Wed Feb 14 16:42:55 2024,15.011,15.001,14.999,15.002
Wed Feb 14 16:43:14 2024,14.997,14.999,15.0,15.001
Wed Feb 14 16:43:33 2024,14.998,15.003,14.999,15.001
Wed Feb 14 16:43:52 2024,15.0,15.023,14.995,14.998
Wed Feb 14 16:44:11 2024,15.0,15.006,15.0,14.999
Wed Feb 14 16:44:31 2024,15.003,14.998,15.001,15.002
Wed Feb 14 16:44:49 2024,15.0,15.002,14.997,14.998
Wed Feb 14 16:45:08 2024,15.0,15.001,14.999,15.001
Wed Feb 14 16:45:27 2024,15.002,15.001,15.0,14.999
Wed Feb 14 16:45:46 2024,15.003,15.0,15.0,15.0
Wed Feb 14 16:46:05 2024,15.0,14.998,15.0,15.002
Wed Feb 14 16:46:24 2024,15.0,14.997,14.999,15.001
Wed Feb 14 16:46:43 2024,14.998,14.999,15.0,15.0
Wed Feb 14 16:47:02 2024,15.0,15.0,15.0,14.999
Wed Feb 14 16:47:21 2024,14.998,15.002,14.998,14.996
Wed Feb 14 16:47:40 2024,14.997,14.991,15.002,14.999
Wed Feb 14 16:47:59 2024,15.0,15.0,15.0,15.002
Wed Feb 14 16:48:18 2024,15.002,15.002,14.999,14.999
Wed Feb 14 16:49:43 2024,15.0,14.998,15.0,15.002
Wed Feb 14 16:50:02 2024,15.002,15.0,15.0,15.0
Wed Feb 14 16:50:21 2024,15.002,15.0,14.999,14.999
Wed Feb 14 16:50:40 2024,14.998,14.998,14.998,15.0
Wed Feb 14 16:50:59 2024,14.998,14.989,15.002,15.002
Wed Feb 14 16:51:18 2024,15.0,15.001,14.999,15.0
Wed Feb 14 16:51:37 2024,15.002,14.996,14.999,15.0
Wed Feb 14 16:51:56 2024,14.998,15.002,15.001,14.999
Wed Feb 14 16:52:15 2024,15.002,14.999,15.0,15.001
Wed Feb 14 16:52:35 2024,14.997,15.003,15.001,15.001
Wed Feb 14 16:52:54 2024,15.0,15.0,15.002,15.0
Wed Feb 14 16:53:13 2024,14.998,15.0,15.001,15.001
Wed Feb 14 16:53:32 2024,15.0,15.01,14.997,14.998
Wed Feb 14 16:53:51 2024,14.995,15.0,15.0,15.002
Wed Feb 14 16:54:10 2024,15.0,15.001,15.002,15.001
Wed Feb 14 16:54:28 2024,15.002,14.999,15.002,15.0
Wed Feb 14 16:54:47 2024,15.002,15.002,14.998,15.001
Wed Feb 14 16:55:06 2024,15.002,15.003,15.0,15.0
Wed Feb 14 16:55:25 2024,14.998,15.004,15.0,14.999
Wed Feb 14 16:55:44 2024,15.002,14.998,15.001,15.002
Wed Feb 14 16:56:03 2024,14.998,14.998,14.997,15.0
Wed Feb 14 16:56:22 2024,15.0,14.994,15.0,14.999
Wed Feb 14 16:57:47 2024,15.0,14.998,14.998,15.0
Wed Feb 14 16:58:06 2024,15.002,14.996,15.0,15.004
Wed Feb 14 16:58:25 2024,15.0,15.001,15.002,15.0
Wed Feb 14 16:58:45 2024,15.002,14.999,14.998,15.002
Wed Feb 14 16:59:04 2024,15.0,14.998,15.001,15.001
Wed Feb 14 16:59:23 2024,15.0,14.996,15.0,14.999
Wed Feb 14 16:59:42 2024,15.0,15.004,15.0,15.001
Wed Feb 14 17:00:01 2024,15.0,15.001,15.0,14.998
Wed Feb 14 17:00:20 2024,15.0,14.998,15.002,15.001
Wed Feb 14 17:00:40 2024,14.998,15.002,14.997,14.999
Wed Feb 14 17:00:59 2024,14.998,15.0,15.0,14.999
Wed Feb 14 17:01:17 2024,14.998,14.991,15.0,15.002
Wed Feb 14 17:01:36 2024,15.0,15.001,15.0,15.0
Wed Feb 14 17:01:55 2024,15.002,14.998,15.0,14.999
Wed Feb 14 17:02:14 2024,15.003,15.02,14.997,14.996
Wed Feb 14 17:02:33 2024,14.998,15.0,14.998,15.0
Wed Feb 14 17:02:52 2024,15.0,14.995,15.001,15.0
Wed Feb 14 17:03:11 2024,15.0,14.998,15.0,15.0
Wed Feb 14 17:03:30 2024,15.0,14.998,15.0,15.001
Wed Feb 14 17:03:49 2024,15.0,15.001,15.0,15.002
Wed Feb 14 17:04:08 2024,15.002,15.0,14.998,15.001
Wed Feb 14 17:04:27 2024,15.0,15.001,15.0,14.999
Wed Feb 14 17:05:52 2024,15.0,14.998,15.0,15.0
Wed Feb 14 17:06:11 2024,15.002,15.003,15.0,14.999
Wed Feb 14 17:06:30 2024,14.998,14.997,14.999,14.999
Wed Feb 14 17:06:49 2024,15.002,15.0,15.0,15.0
Wed Feb 14 17:07:08 2024,14.997,15.008,14.999,14.999
Wed Feb 14 17:07:27 2024,14.998,15.0,15.001,15.001
Wed Feb 14 17:07:46 2024,15.0,15.002,15.0,14.998
Wed Feb 14 17:08:05 2024,14.998,14.998,15.0,15.001
Wed Feb 14 17:08:24 2024,15.0,15.001,14.998,14.999
Wed Feb 14 17:08:44 2024,14.998,15.016,14.999,14.998
Wed Feb 14 17:09:03 2024,15.003,15.0,14.999,15.001
Wed Feb 14 17:09:22 2024,14.998,14.996,15.001,14.998
Wed Feb 14 17:09:41 2024,15.0,14.993,15.0,15.002
Wed Feb 14 17:10:00 2024,15.002,15.019,14.998,14.996
Wed Feb 14 17:10:19 2024,14.997,15.001,15.0,15.001
Wed Feb 14 17:10:38 2024,15.0,14.995,15.001,15.002
Wed Feb 14 17:10:57 2024,15.002,15.0,14.998,15.0
Wed Feb 14 17:11:16 2024,15.002,15.015,15.002,15.0
Wed Feb 14 17:11:35 2024,15.0,15.001,15.0,14.998
Wed Feb 14 17:11:54 2024,15.002,14.998,15.0,15.0
Wed Feb 14 17:12:13 2024,15.0,14.994,15.001,15.001
Wed Feb 14 17:12:31 2024,15.0,15.0,15.0,14.999
Wed Feb 14 17:13:57 2024,15.003,15.0,15.0,15.0
Wed Feb 14 17:14:16 2024,15.002,15.003,15.0,14.996
Wed Feb 14 17:14:35 2024,15.002,15.002,14.999,15.002
Wed Feb 14 17:14:54 2024,15.0,14.998,14.999,15.0
Wed Feb 14 17:15:13 2024,15.0,15.007,14.999,14.999
Wed Feb 14 17:15:32 2024,14.998,14.999,15.0,14.999
Wed Feb 14 17:15:51 2024,15.0,15.0,15.0,14.998
Wed Feb 14 17:16:10 2024,15.0,15.002,15.0,15.0
Wed Feb 14 17:16:29 2024,14.998,14.999,14.997,15.002
Wed Feb 14 17:16:48 2024,15.002,14.997,15.001,15.001
