Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,5 SP,6 SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV,5 PV,6 PV
Wed Feb 14 16:26:54 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,50.70167541503906,23.07904052734375,0.0,0,0,0,1,14.998750000000001,15.002,14.996
Wed Feb 14 16:27:02 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,50.702640533447266,23.104949951171875,0.0,0,0,0,1,14.998750000000001,15.005,14.999
Wed Feb 14 16:27:09 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08875,50.703224182128906,23.127288818359375,0.0,0,0,0,1,15.0005,14.997,14.998
Wed Feb 14 16:27:17 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.08624999999999,0.0,74.0925,50.70649719238281,23.1468505859375,0.0,0,0,0,1,15.0005,15.0,14.998
Wed Feb 14 16:27:24 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.0775,50.70556640625,23.15484619140625,0.0,0,0,0,1,15.00125,15.001,14.999
Wed Feb 14 16:27:32 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.09625,50.70557403564453,23.201141357421875,0.0,0,0,0,1,15.00125,14.996,15.002
Wed Feb 14 16:27:39 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08875,50.70769500732422,23.238616943359375,0.0,0,0,0,1,15.00025,15.005,15.002
Wed Feb 14 16:27:47 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.0925,50.70222473144531,23.127685546875,0.0,0,0,0,1,15.00025,14.997,14.997
Wed Feb 14 16:27:54 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08875,50.701446533203125,23.277740478515625,0.0,0,0,0,1,14.999,15.002,15.002
Wed Feb 14 16:28:02 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.0925,50.70771026611328,23.177581787109375,0.0,0,0,0,1,14.999,14.999,15.002
Wed Feb 14 16:28:09 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08500000000001,50.7110595703125,23.1663818359375,0.0,0,0,0,1,15.001,14.996,14.999
Wed Feb 14 16:28:16 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.08875,50.70756149291992,23.255767822265625,0.0,0,0,0,1,15.001,14.997,15.002
Wed Feb 14 16:28:24 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,50.70448303222656,23.240631103515625,0.0,0,0,0,1,15.00125,14.994,14.998
Wed Feb 14 16:28:31 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08875,50.705963134765625,23.2015380859375,0.0,0,0,0,1,15.00125,14.999,15.0
Wed Feb 14 16:28:39 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.0925,50.70341491699219,23.21868896484375,0.0,0,0,0,1,15.00125,14.997,15.001
Wed Feb 14 16:28:46 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,50.70952224731445,23.128875732421875,0.0,0,0,0,1,15.00125,15.002,14.999
Wed Feb 14 16:28:53 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08500000000001,50.711029052734375,23.059478759765625,0.0,0,0,0,1,14.999749999999999,15.002,14.998
Wed Feb 14 16:29:01 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.08875,50.70640563964844,23.1644287109375,0.0,0,0,0,1,14.999749999999999,15.002,15.001
Wed Feb 14 16:29:08 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,50.707679748535156,23.18634033203125,0.0,0,0,0,1,14.9995,15.004,15.001
Wed Feb 14 16:29:16 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.08624999999999,0.0,74.0925,50.70574188232422,23.238616943359375,0.0,0,0,0,1,14.9995,15.003,14.999
