Time,1,2,3,4,5,6
Tue May  7 09:28:41 2024,14.95,14.934,14.946,14.859,14.894,14.95
Tue May  7 09:30:06 2024,15.022,15.025,14.996,14.994,15.016,14.994
Tue May  7 09:30:25 2024,14.978,15.015,15.002,15.002,14.997,14.999
Tue May  7 09:30:44 2024,15.0,15.016,14.999,14.984,14.984,14.997
Tue May  7 09:31:03 2024,15.002,14.974,14.992,14.993,14.998,15.006
Tue May  7 09:31:22 2024,14.997,14.929,15.002,15.009,15.006,14.998
Tue May  7 09:31:41 2024,14.894,14.967,15.001,14.994,15.002,15.0
Tue May  7 09:32:00 2024,15.014,15.002,15.001,15.005,14.993,15.001
Tue May  7 09:32:19 2024,14.995,15.022,15.004,15.008,15.009,14.989
Tue May  7 09:32:38 2024,14.994,15.054,14.998,14.985,14.993,15.023
Tue May  7 09:32:57 2024,15.008,14.903,15.001,15.009,15.005,14.996
Tue May  7 09:33:16 2024,15.006,15.018,15.005,15.005,15.007,14.997
Tue May  7 09:33:35 2024,15.008,14.798,14.998,14.993,14.997,15.001
Tue May  7 09:33:54 2024,14.828,14.99,15.003,15.019,15.011,15.002
Tue May  7 09:34:13 2024,15.011,15.001,15.002,15.001,14.991,15.004
Tue May  7 09:35:37 2024,15.008,14.947,14.997,15.005,14.998,14.991
Tue May  7 09:35:56 2024,15.042,14.994,14.999,15.004,14.995,14.997
Tue May  7 09:36:15 2024,15.003,15.007,14.998,14.988,14.998,15.0
Tue May  7 09:36:34 2024,15.002,14.988,15.003,15.002,14.998,14.996
Tue May  7 09:36:53 2024,14.992,14.966,14.997,14.999,14.996,14.996
Tue May  7 09:37:12 2024,15.0,15.014,15.005,14.993,15.009,15.004
Tue May  7 09:37:31 2024,15.017,14.999,14.998,15.012,14.998,15.011
Tue May  7 09:37:50 2024,14.892,15.027,14.999,14.998,15.007,15.007
Tue May  7 09:38:09 2024,15.003,15.02,15.0,14.997,14.996,14.996
Tue May  7 09:38:28 2024,15.008,15.005,15.0,14.994,15.009,15.016
Tue May  7 09:38:47 2024,14.995,15.029,15.0,14.99,14.995,15.0
Tue May  7 09:39:06 2024,15.008,14.775,14.998,15.01,15.0,14.99
Tue May  7 09:39:25 2024,15.011,15.001,15.001,14.988,14.996,15.005
Tue May  7 09:39:44 2024,15.008,14.974,14.996,15.009,14.997,15.002
Tue May  7 09:41:09 2024,15.0,14.973,15.002,14.992,15.003,14.998
Tue May  7 09:41:24 2024,15.002,14.984,15.004,14.999,15.009,15.002
Tue May  7 09:41:39 2024,14.995,14.966,14.998,14.995,14.999,14.998
Tue May  7 09:41:53 2024,14.992,15.009,15.0,14.988,15.005,14.999
Tue May  7 09:42:08 2024,14.997,15.002,14.994,15.007,15.002,15.0
Tue May  7 09:42:23 2024,14.984,15.012,14.998,14.993,14.994,14.996
Tue May  7 09:42:38 2024,15.003,14.989,15.001,14.988,14.997,14.995
Tue May  7 09:42:53 2024,14.988,15.034,14.999,14.993,14.995,14.988
Tue May  7 09:43:08 2024,14.995,14.984,15.002,14.998,15.004,15.005
Tue May  7 09:43:23 2024,15.011,14.727,14.996,14.995,14.992,15.005
Tue May  7 09:43:38 2024,14.992,15.057,15.002,14.995,15.002,15.002
Tue May  7 09:43:54 2024,15.002,14.983,15.005,15.015,15.002,15.002
Tue May  7 09:44:13 2024,15.006,14.998,14.996,14.999,15.0,15.001
Tue May  7 09:44:32 2024,15.016,14.998,15.0,14.989,15.004,14.991
Tue May  7 09:44:51 2024,15.02,15.004,15.001,15.002,14.991,14.986
Tue May  7 09:45:10 2024,15.005,14.883,14.995,14.988,14.994,14.995
Tue May  7 09:45:28 2024,15.036,14.991,15.001,15.012,14.998,15.0
Tue May  7 09:45:47 2024,15.003,15.022,15.001,14.995,14.993,15.002
Tue May  7 09:46:06 2024,14.984,15.016,14.998,14.998,15.002,15.009
Tue May  7 09:46:25 2024,14.998,15.009,15.002,15.008,15.002,15.002
Tue May  7 09:46:44 2024,14.994,15.037,14.995,14.997,14.994,15.005
Tue May  7 09:48:09 2024,14.988,15.01,14.998,14.984,15.002,15.0
Tue May  7 09:48:28 2024,14.997,15.011,14.998,15.002,14.991,14.991
Tue May  7 09:48:47 2024,14.994,14.995,14.998,15.002,14.996,15.002
Tue May  7 09:49:06 2024,14.984,15.017,14.998,14.993,15.004,15.001
Tue May  7 09:49:25 2024,14.988,15.105,14.997,14.994,14.985,14.995
Tue May  7 09:49:44 2024,14.972,14.992,14.999,15.008,14.998,15.001
Tue May  7 09:50:03 2024,14.989,14.972,15.003,14.998,15.0,14.996
Tue May  7 09:50:22 2024,15.017,15.001,14.995,14.984,14.991,15.003
Tue May  7 09:50:41 2024,15.003,15.026,15.002,15.004,14.999,15.001
Tue May  7 09:51:00 2024,14.994,14.998,14.998,15.01,14.992,14.985
Tue May  7 09:51:19 2024,14.989,15.082,15.001,15.006,15.002,15.005
Tue May  7 09:51:37 2024,14.998,15.022,15.004,14.989,14.995,14.998
Tue May  7 09:51:56 2024,14.863,15.036,14.998,14.997,15.001,14.999
Tue May  7 09:52:15 2024,15.008,14.995,15.002,14.991,15.003,14.991
Tue May  7 09:53:40 2024,15.002,14.976,15.005,15.001,15.001,15.005
Tue May  7 09:53:59 2024,15.041,14.948,14.998,14.993,14.989,15.005
Tue May  7 09:54:18 2024,14.998,14.948,14.995,14.999,14.995,15.005
Tue May  7 09:54:37 2024,14.978,14.985,15.002,14.994,14.998,14.99
Tue May  7 09:54:56 2024,15.006,14.985,14.999,15.006,15.005,15.002
Tue May  7 09:55:15 2024,15.012,15.052,14.999,14.992,15.001,14.999
Tue May  7 09:55:34 2024,15.03,15.046,14.999,14.994,15.001,15.0
Tue May  7 09:55:53 2024,15.006,15.023,14.992,14.988,14.988,14.993
Tue May  7 09:56:12 2024,15.003,14.996,14.999,14.995,15.005,14.994
Tue May  7 09:56:31 2024,15.0,15.025,15.0,15.002,14.996,14.996
Tue May  7 09:56:50 2024,15.02,14.703,14.998,15.022,15.011,15.0
Tue May  7 09:57:09 2024,15.014,14.961,15.003,14.996,15.002,14.994
Tue May  7 09:57:28 2024,15.0,14.979,14.994,14.995,14.998,14.995
Tue May  7 09:57:47 2024,14.997,14.998,15.001,14.997,15.006,15.005
Tue May  7 09:59:11 2024,15.005,14.991,15.003,15.002,15.002,15.0
Tue May  7 09:59:26 2024,15.006,14.985,14.999,14.995,14.996,15.0
Tue May  7 09:59:41 2024,15.009,14.959,14.998,15.009,14.999,14.995
Tue May  7 09:59:56 2024,15.003,14.983,14.997,15.005,15.009,15.001
Tue May  7 10:00:11 2024,15.012,15.027,14.996,15.001,14.995,14.994
Tue May  7 10:00:34 2024,15.0,15.011,15.0,15.023,15.009,15.006
Tue May  7 10:00:53 2024,15.005,15.02,15.001,15.009,15.005,15.006
Tue May  7 10:01:12 2024,14.948,14.995,14.998,15.002,14.994,14.997
Tue May  7 10:01:31 2024,14.997,14.968,14.998,14.987,14.998,14.992
Tue May  7 10:01:50 2024,15.009,14.693,15.004,15.007,15.005,15.005
Tue May  7 10:02:09 2024,15.006,15.02,14.998,15.005,15.004,14.999
Tue May  7 10:02:28 2024,14.998,15.002,14.996,15.001,14.998,14.999
Tue May  7 10:02:46 2024,14.986,15.008,14.998,14.998,14.993,15.011
Tue May  7 10:03:05 2024,15.002,14.821,14.995,15.002,15.005,15.002
Tue May  7 10:03:24 2024,15.0,14.933,15.0,14.995,15.002,15.0
Tue May  7 10:04:49 2024,15.012,14.975,14.996,14.999,14.995,15.0
Tue May  7 10:05:08 2024,14.989,14.992,14.998,14.996,15.005,14.995
Tue May  7 10:05:27 2024,15.009,14.984,15.003,15.009,15.0,15.0
Tue May  7 10:05:46 2024,15.02,14.992,14.995,15.003,14.992,15.005
Tue May  7 10:06:05 2024,15.0,15.099,15.002,14.994,15.0,15.007
Tue May  7 10:06:24 2024,14.967,14.999,15.001,15.012,15.011,14.993
Tue May  7 10:06:43 2024,14.998,15.038,15.002,15.001,14.998,15.004
Tue May  7 10:07:02 2024,14.992,14.988,14.998,14.994,15.002,14.998
Tue May  7 10:07:21 2024,14.995,15.016,15.005,14.993,15.006,14.992
Tue May  7 10:07:40 2024,14.995,14.956,15.002,14.994,14.998,15.002
Tue May  7 10:07:59 2024,15.002,15.002,15.007,15.022,15.018,15.007
Tue May  7 10:08:18 2024,14.994,15.033,15.002,14.996,15.004,15.0
Tue May  7 10:08:37 2024,14.998,14.988,15.004,15.001,15.01,14.999
Tue May  7 10:08:56 2024,15.017,14.946,14.998,14.999,14.992,14.998
Tue May  7 10:10:21 2024,15.002,14.959,14.999,15.005,15.002,15.0
Tue May  7 10:10:40 2024,14.995,14.984,15.002,14.998,14.996,15.004
Tue May  7 10:10:59 2024,15.011,14.964,14.998,15.005,15.001,15.003
Tue May  7 10:11:18 2024,14.998,15.03,14.998,14.998,15.002,15.012
Tue May  7 10:11:37 2024,15.0,14.998,14.998,14.996,14.998,15.001
Tue May  7 10:11:56 2024,14.997,15.005,15.001,15.001,15.005,14.995
Tue May  7 10:12:15 2024,14.998,15.014,14.999,14.992,14.992,15.005
Tue May  7 10:12:34 2024,15.008,14.805,15.0,14.993,15.0,15.0
Tue May  7 10:12:53 2024,14.992,15.025,15.0,15.005,15.005,15.002
Tue May  7 10:13:12 2024,15.009,14.977,15.002,15.006,15.006,15.014
Tue May  7 10:13:31 2024,15.0,15.013,14.993,15.005,14.997,14.999
Tue May  7 10:13:50 2024,14.995,14.984,14.997,14.996,15.0,14.987
Tue May  7 10:14:08 2024,15.0,15.022,14.996,14.998,14.99,14.995
Tue May  7 10:14:27 2024,14.822,15.015,14.999,14.989,14.997,15.006
Tue May  7 10:15:52 2024,15.011,14.945,15.002,15.009,15.003,14.992
Tue May  7 10:16:07 2024,15.005,15.019,15.001,15.005,14.998,14.998
Tue May  7 10:16:22 2024,15.691,14.984,15.001,14.995,15.004,14.995
Tue May  7 10:16:37 2024,15.009,14.932,14.995,14.993,15.0,14.994
Tue May  7 10:16:52 2024,14.983,14.984,15.0,15.003,14.995,14.998
Tue May  7 10:17:08 2024,14.991,14.966,15.005,15.015,15.008,14.998
Tue May  7 10:17:26 2024,14.995,15.011,15.0,14.993,15.006,15.001
Tue May  7 10:17:45 2024,15.006,14.997,15.002,15.012,15.005,15.003
Tue May  7 10:18:04 2024,15.003,15.016,14.998,14.994,15.008,14.998
Tue May  7 10:18:23 2024,15.002,14.923,15.0,14.992,15.005,15.006
Tue May  7 10:18:42 2024,15.006,14.945,14.998,15.006,15.006,14.998
Tue May  7 10:19:01 2024,15.002,15.708,15.002,14.986,14.999,14.989
Tue May  7 10:19:20 2024,15.0,14.988,14.998,15.007,15.0,14.995
Tue May  7 10:19:39 2024,14.873,15.035,15.0,14.991,15.004,14.998
Tue May  7 10:19:58 2024,15.008,14.998,15.002,15.013,15.005,14.994
Tue May  7 10:21:32 2024,15.012,15.011,15.001,15.002,14.997,15.001
Tue May  7 10:21:51 2024,14.975,14.983,15.002,15.002,15.009,14.995
Tue May  7 10:22:10 2024,15.002,14.772,15.001,14.983,14.991,15.0
Tue May  7 10:22:29 2024,14.998,15.012,15.0,15.016,15.001,15.005
Tue May  7 10:22:48 2024,14.828,15.597,15.001,14.988,14.997,15.002
Tue May  7 10:23:07 2024,14.988,14.998,15.0,14.999,14.998,14.995
Tue May  7 10:23:26 2024,14.997,15.038,15.001,15.002,15.003,14.998
Tue May  7 10:23:45 2024,15.011,14.948,15.001,15.013,14.998,14.991
Tue May  7 10:24:04 2024,14.981,15.014,14.999,14.978,14.997,15.003
Tue May  7 10:24:23 2024,15.012,15.039,15.0,14.999,15.009,15.008
Tue May  7 10:24:42 2024,15.008,15.036,15.0,14.989,14.995,14.998
Tue May  7 10:25:01 2024,14.995,14.981,15.001,14.998,14.995,14.989
Tue May  7 10:25:19 2024,15.003,14.962,15.002,15.006,15.0,14.995
Tue May  7 10:25:38 2024,15.002,15.02,14.998,15.005,15.0,15.007
Tue May  7 10:27:03 2024,14.972,15.001,14.999,14.995,15.005,14.994
Tue May  7 10:27:22 2024,15.005,15.023,15.0,14.995,15.005,15.003
Tue May  7 10:27:41 2024,15.0,14.905,15.0,14.99,14.99,14.993
Tue May  7 10:28:00 2024,15.02,14.987,14.997,14.982,14.994,14.993
Tue May  7 10:28:19 2024,14.97,14.977,15.0,15.016,15.01,14.995
Tue May  7 10:28:38 2024,15.019,15.009,15.002,15.002,14.994,15.005
Tue May  7 10:28:57 2024,14.989,15.015,14.998,15.0,14.998,14.998
Tue May  7 10:29:16 2024,14.995,15.006,14.999,15.002,14.996,15.016
Tue May  7 10:29:35 2024,15.011,15.0,14.999,15.005,15.008,15.008
Tue May  7 10:29:54 2024,14.998,15.002,15.003,14.999,14.999,14.991
Tue May  7 10:30:13 2024,15.012,14.955,15.0,15.005,14.994,15.013
Tue May  7 10:30:32 2024,15.009,15.002,14.999,15.004,14.999,15.004
Tue May  7 10:30:51 2024,14.878,14.986,15.0,15.005,15.005,15.008
Tue May  7 10:31:10 2024,15.009,15.721,15.0,15.002,14.998,14.998
Tue May  7 10:32:35 2024,14.997,14.998,15.0,14.999,15.0,15.016
Tue May  7 10:32:50 2024,14.975,14.996,14.999,14.991,14.995,15.012
Tue May  7 10:33:05 2024,15.0,14.996,15.0,14.987,15.004,14.998
Tue May  7 10:33:20 2024,15.009,14.977,15.0,14.992,15.005,15.002
Tue May  7 10:33:43 2024,15.006,14.992,15.004,15.017,15.013,14.991
Tue May  7 10:34:02 2024,15.011,15.005,15.002,15.005,15.002,15.003
Tue May  7 10:34:21 2024,14.975,15.005,15.002,14.992,14.998,15.002
Tue May  7 10:34:40 2024,15.009,14.998,15.004,14.995,15.012,14.995
Tue May  7 10:34:59 2024,15.008,15.042,14.998,14.998,14.999,15.014
Tue May  7 10:35:18 2024,15.0,15.007,14.996,14.999,15.0,14.998
Tue May  7 10:35:37 2024,14.93,14.988,15.001,14.999,14.996,14.998
Tue May  7 10:35:56 2024,14.97,15.014,14.996,15.005,14.995,15.011
Tue May  7 10:36:15 2024,14.969,14.962,15.001,15.002,15.0,14.998
Tue May  7 10:36:34 2024,15.025,14.99,14.998,14.997,14.995,15.0
Tue May  7 10:38:08 2024,15.008,14.995,15.002,14.995,15.005,14.999
Tue May  7 10:38:27 2024,15.008,14.959,14.999,15.009,15.0,14.99
Tue May  7 10:38:46 2024,15.003,15.022,14.999,14.991,15.004,15.013
Tue May  7 10:39:05 2024,14.998,14.989,15.002,14.994,15.0,14.995
Tue May  7 10:39:24 2024,14.998,15.023,14.997,15.017,15.001,14.995
Tue May  7 10:39:43 2024,14.992,15.017,15.0,14.991,15.001,15.02
Tue May  7 10:40:02 2024,14.998,15.014,15.005,15.009,15.003,14.998
Tue May  7 10:40:21 2024,15.0,15.023,15.002,14.993,15.007,15.002
Tue May  7 10:40:40 2024,15.005,15.006,15.001,14.998,15.009,14.996
Tue May  7 10:40:59 2024,15.0,14.999,14.998,15.005,14.996,14.998
Tue May  7 10:41:18 2024,15.003,15.005,14.998,14.993,15.001,15.008
Tue May  7 10:41:37 2024,15.012,14.984,14.996,14.983,15.004,15.013
Tue May  7 10:41:56 2024,15.003,14.992,15.0,15.007,14.998,14.997
Tue May  7 10:42:15 2024,15.011,15.001,15.0,14.993,15.002,14.991
Tue May  7 10:43:40 2024,15.008,15.019,14.999,15.006,14.998,15.001
Tue May  7 10:43:59 2024,14.991,14.996,15.002,14.991,15.007,14.998
Tue May  7 10:44:18 2024,14.981,15.002,15.004,14.993,15.002,15.008
Tue May  7 10:44:37 2024,15.005,15.048,15.001,15.008,15.008,14.995
Tue May  7 10:44:56 2024,15.022,15.007,14.999,14.991,15.004,14.992
Tue May  7 10:45:15 2024,14.991,14.996,14.994,15.006,14.995,15.011
Tue May  7 10:45:34 2024,15.002,14.995,14.996,15.0,15.002,15.0
Tue May  7 10:45:53 2024,14.891,15.005,15.002,14.989,15.001,14.993
Tue May  7 10:46:12 2024,15.0,14.993,14.998,14.988,14.998,14.99
Tue May  7 10:46:31 2024,15.006,14.997,15.002,14.988,14.999,14.997
Tue May  7 10:46:50 2024,14.995,15.023,15.002,14.994,15.0,14.993
Tue May  7 10:47:09 2024,15.006,14.97,15.002,14.998,15.003,15.002
Tue May  7 10:47:28 2024,15.003,15.035,15.0,15.006,14.991,14.998
Tue May  7 10:47:47 2024,15.031,15.002,15.002,15.002,15.0,14.999
Tue May  7 10:49:12 2024,15.025,14.998,15.001,15.002,15.005,15.009
Tue May  7 10:49:27 2024,14.994,14.866,15.002,14.993,15.006,14.997
Tue May  7 10:49:42 2024,15.006,15.016,15.001,15.004,15.007,14.995
Tue May  7 10:49:57 2024,14.989,15.007,15.0,15.007,15.001,15.001
Tue May  7 10:50:20 2024,15.005,14.995,15.0,15.023,15.005,14.999
Tue May  7 10:50:39 2024,15.008,15.021,14.999,14.997,15.005,14.998
Tue May  7 10:50:58 2024,15.008,14.99,15.001,14.984,15.006,14.996
Tue May  7 10:51:17 2024,15.003,15.005,15.001,15.016,14.998,15.005
Tue May  7 10:51:36 2024,15.0,15.006,14.998,14.998,15.002,15.005
Tue May  7 10:51:55 2024,14.998,14.988,14.997,14.999,14.995,15.01
Tue May  7 10:52:14 2024,15.0,15.016,15.001,14.999,15.0,15.0
Tue May  7 10:52:33 2024,15.002,15.032,15.002,15.012,15.005,15.007
Tue May  7 10:52:52 2024,15.005,15.016,15.004,15.008,15.0,14.998
Tue May  7 10:53:11 2024,14.994,15.008,15.002,15.009,14.999,14.996
Tue May  7 10:54:45 2024,14.997,15.015,14.997,14.98,15.003,14.998
Tue May  7 10:55:04 2024,15.006,15.008,14.995,14.995,15.001,15.001
Tue May  7 10:55:23 2024,15.009,14.947,14.999,15.005,14.995,15.001
Tue May  7 10:55:42 2024,15.008,14.939,14.998,14.998,14.998,15.0
Tue May  7 10:56:01 2024,14.995,14.994,14.998,15.015,15.005,14.999
Tue May  7 10:56:20 2024,14.992,14.974,14.997,15.016,14.998,14.998
Tue May  7 10:56:39 2024,14.995,15.018,14.999,15.009,15.002,14.999
Tue May  7 10:56:58 2024,14.997,14.998,14.999,15.006,14.999,15.009
Tue May  7 10:57:17 2024,15.0,14.999,14.998,14.998,14.995,14.998
Tue May  7 10:57:36 2024,14.997,15.052,15.002,14.98,14.997,14.997
Tue May  7 10:57:55 2024,15.028,15.001,14.998,14.975,14.998,15.016
Tue May  7 10:58:14 2024,14.992,15.06,14.999,14.985,14.995,15.004
Tue May  7 10:58:32 2024,15.009,15.018,15.001,15.001,14.995,14.989
Tue May  7 10:58:51 2024,15.002,15.016,15.002,15.013,14.998,15.01
Tue May  7 11:00:16 2024,15.012,15.008,15.003,15.002,15.001,14.998
Tue May  7 11:00:35 2024,15.009,15.013,15.002,15.002,15.0,15.003
Tue May  7 11:00:54 2024,15.016,14.979,14.998,15.006,15.0,15.009
Tue May  7 11:01:13 2024,15.003,15.004,14.998,15.006,15.002,15.0
Tue May  7 11:01:32 2024,15.002,14.993,14.998,14.997,14.999,14.996
Tue May  7 11:01:51 2024,15.002,14.998,14.998,14.986,14.995,14.991
Tue May  7 11:02:10 2024,15.003,15.005,14.999,14.995,14.999,15.002
Tue May  7 11:02:29 2024,15.005,14.971,14.997,14.998,14.999,14.995
Tue May  7 11:02:48 2024,15.003,14.967,14.998,15.01,14.993,15.003
Tue May  7 11:03:07 2024,15.005,14.978,14.998,15.016,15.003,15.002
Tue May  7 11:03:26 2024,15.0,14.958,14.998,15.012,15.002,15.01
Tue May  7 11:03:45 2024,15.003,15.013,15.003,15.012,14.998,14.998
Tue May  7 11:04:04 2024,14.994,14.998,14.999,15.005,15.0,15.013
Tue May  7 11:04:23 2024,14.886,15.002,15.001,14.999,15.005,15.012
Tue May  7 11:05:48 2024,14.998,14.863,14.997,15.006,15.001,15.001
Tue May  7 11:06:03 2024,14.992,15.027,14.998,15.002,15.001,14.994
Tue May  7 11:06:18 2024,14.998,15.023,15.003,14.995,14.999,14.989
Tue May  7 11:06:32 2024,14.991,14.942,15.004,14.998,15.003,14.997
Tue May  7 11:06:55 2024,14.995,14.995,14.998,15.023,14.989,15.005
Tue May  7 11:07:14 2024,15.005,15.005,14.999,15.009,14.998,15.002
Tue May  7 11:07:33 2024,14.995,14.988,15.002,14.991,14.998,15.005
Tue May  7 11:07:52 2024,14.991,15.026,15.0,15.008,15.0,14.997
Tue May  7 11:08:11 2024,14.998,14.998,14.998,14.999,15.002,14.997
Tue May  7 11:08:30 2024,14.988,15.019,14.999,15.004,15.001,14.998
Tue May  7 11:08:49 2024,14.991,15.041,15.001,14.985,14.998,14.997
Tue May  7 11:09:08 2024,15.011,15.97,15.002,14.993,15.007,14.999
Tue May  7 11:09:27 2024,15.011,15.02,15.002,14.996,14.998,15.009
Tue May  7 11:09:46 2024,15.016,15.034,14.999,15.005,15.002,15.005
Tue May  7 11:11:57 2024,14.991,14.987,14.998,15.016,15.001,15.007
Tue May  7 11:12:16 2024,14.997,14.965,14.998,15.008,15.006,15.004
Tue May  7 11:12:35 2024,14.997,14.995,14.997,15.019,14.999,14.996
