Time,Current SP,R1,R2,R3,R4,R5,R6
Tue May  7 09:28:42 2024,25.0,23.944244384765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:28:48 2024,25.0,23.8856201171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:28:53 2024,25.0,23.900726318359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:28:59 2024,25.0,23.918304443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:05 2024,25.0,23.963775634765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:11 2024,25.0,23.909515380859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:17 2024,25.0,23.9290771484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:22 2024,25.0,23.777130126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:28 2024,25.0,23.872406005859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:34 2024,25.0,23.866058349609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:40 2024,25.0,23.9031982421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:45 2024,25.0,23.9378662109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:51 2024,25.0,23.9422607421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:29:57 2024,25.0,23.8856201171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:03 2024,25.0,23.879241943359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:08 2024,25.0,23.911956787109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:16 2024,25.0,23.933929443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:22 2024,25.0,23.9403076171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:27 2024,25.0,23.9598388671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:30:35 2024,25.0,23.9881591796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
