Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-031-02,inficon_gc,1f7730ab-24be-4141-a365-1bda0a928050,1715092199.4432878,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-031-02,inficon_gc,81f62afd-aae8-499b-8176-0b7c799129a9,1715092530.7763698,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-031-02,inficon_gc,05160621-37b5-4f10-9160-1838b555fc76,1715092862.0488226,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-031-02,inficon_gc,d6a26891-28cf-4c45-af2e-1a1a93ed2b45,1715093281.9826772,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-031-02,inficon_gc,84fbb40b-2163-49d3-85ae-27da0087fe12,1715093613.564161,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-031-02,inficon_gc,198748de-2029-4640-b7e2-202dc924efa3,1715093944.7351708,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-031-02,inficon_gc,892c9131-c45c-442e-927e-167bee934c17,1715094282.274474,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-031-02,inficon_gc,3f685c84-6d2b-4bcb-ae66-73c7f159c874,1715094614.2039793,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-031-02,inficon_gc,a3f3120a-91cb-4919-842e-41f7994a1707,1715094945.4244087,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-031-02,inficon_gc,fc108be8-4054-48e5-8202-345006ad6720,1715095285.149287,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-031-02,inficon_gc,47718ea3-c833-44ad-9a4b-77727b35c27e,1715095616.4303324,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-031-02,inficon_gc,7f695562-b587-4548-a42f-e3c308ab8685,1715095948.5310557,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-031-02,inficon_gc,8cdff5c0-3a45-4ab8-8f6f-c25f1bfb7313,1715096281.2142618,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-031-02,inficon_gc,8d90d5f3-5cff-4164-946a-fd19ab7a513c,1715096613.0445807,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-031-02,inficon_gc,e9f1bc82-8727-47df-9f2f-a2e94f13924e,1715096945.494518,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-031-02,inficon_gc,b32db158-85f6-4c0b-b015-84810885e304,1715097278.0968587,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-031-02,inficon_gc,9d4a9141-9946-4f25-b1ce-cda2f904f9d5,1715097609.473397,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-031-02,inficon_gc,32f0a672-5a04-4f0b-b03e-64404924be9f,1715097941.093883,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-031-02,inficon_gc,73ac9a06-5d12-4cee-8d5d-5d7dffd95af7,1715098310.0783293,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
24-031-02,inficon_gc,a7f2a5f3-9bda-4ee7-9921-cb8006d8b37e,1715098642.4454448,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
24-031-02,inficon_gc,4f654173-6316-42d2-bbe5-f8938dfa04cc,1715098975.6350543,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
