Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue May  7 09:28:39 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.024375,0.0,75.0675,0.0,0.0,51.54261779785156,23.881195068359375,0.0,0,0,0,1,14.922166666666667
Tue May  7 09:30:04 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.0825,0.0,0.0,51.54843521118164,23.918304443359375,0.0,1,0,0,1,15.007833333333332
Tue May  7 09:30:14 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.075,0.0,0.0,51.55158615112305,23.881683349609375,0.0,1,0,0,1,15.007833333333332
Tue May  7 09:30:23 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.075,0.0,0.0,51.546966552734375,23.998931884765625,0.0,1,0,0,1,14.998833333333332
Tue May  7 09:30:33 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.07124999999999,0.0,0.0,51.554901123046875,24.0076904296875,0.0,1,0,0,1,14.998833333333332
Tue May  7 09:30:42 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.1875,0.0,75.0675,0.0,0.0,51.55511474609375,23.935882568359375,0.0,1,0,0,1,14.996666666666668
Tue May  7 09:30:52 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.07875,0.0,0.0,51.55645751953125,23.9403076171875,0.0,1,0,0,1,14.996666666666668
Tue May  7 09:31:01 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.075,0.0,0.0,51.557132720947266,23.809844970703125,0.0,1,0,0,1,14.994166666666667
Tue May  7 09:31:11 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.07124999999999,0.0,0.0,51.568260192871094,23.890472412109375,0.0,1,0,0,1,14.994166666666667
Tue May  7 09:31:20 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.075,0.0,0.0,51.55830383300781,23.9705810546875,0.0,1,0,0,1,14.990166666666669
Tue May  7 09:31:30 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.195,0.0,75.075,0.0,0.0,51.55915832519531,23.91436767578125,0.0,1,0,0,1,14.990166666666669
Tue May  7 09:31:39 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.07875,0.0,0.0,51.559295654296875,23.938323974609375,0.0,1,0,0,1,14.976333333333335
Tue May  7 09:31:49 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.195,0.0,75.075,0.0,0.0,51.56493377685547,23.960296630859375,0.0,1,0,0,1,14.976333333333335
Tue May  7 09:31:58 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.195,0.0,75.07875,0.0,0.0,51.5677490234375,23.83380126953125,0.0,1,0,0,1,15.002666666666668
Tue May  7 09:32:08 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.189375000000005,0.0,75.07124999999999,0.0,0.0,51.56897735595703,23.920745849609375,0.0,1,0,0,1,15.002666666666668
Tue May  7 09:32:17 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.0675,0.0,0.0,51.567344665527344,23.763946533203125,0.0,1,0,0,1,15.0045
Tue May  7 09:32:27 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.075,0.0,0.0,51.56121826171875,23.9686279296875,0.0,1,0,0,1,15.0045
Tue May  7 09:32:36 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.07875,0.0,0.0,51.56743621826172,23.890472412109375,0.0,1,0,0,1,15.007833333333332
Tue May  7 09:32:46 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.07124999999999,0.0,0.0,51.570579528808594,24.0120849609375,0.0,1,0,0,1,15.007833333333332
Tue May  7 09:32:55 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.07875,0.0,0.0,51.569522857666016,23.840606689453125,0.0,1,0,0,1,14.987
Tue May  7 09:33:05 2024,24-031-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.196875,0.0,75.07124999999999,0.0,0.0,51.5690803527832,23.921234130859375,0.0,1,0,0,1,14.987
