Time,Current SP,R1,R2,R3,R4,R5,R6
Fri May  3 12:38:24 2024,25.0,22.412689208984375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:38:31 2024,25.0,22.314849853515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:38:39 2024,25.0,22.40826416015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:38:46 2024,25.0,22.305572509765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:38:54 2024,25.0,22.303619384765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:01 2024,25.0,22.371124267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:09 2024,25.0,22.3515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:16 2024,25.0,22.39508056640625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:23 2024,25.0,22.308013916015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:31 2024,25.0,22.403411865234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:38 2024,25.0,22.379486083984375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:45 2024,25.0,22.453369140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:39:53 2024,25.0,22.2508544921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:00 2024,25.0,22.24603271484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:08 2024,25.0,22.30474853515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:15 2024,25.0,22.28118896484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:23 2024,25.0,22.337921142578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:30 2024,25.0,22.31396484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:37 2024,25.0,22.27484130859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:45 2024,25.0,22.337921142578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:52 2024,25.0,22.361907958984375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:40:59 2024,25.0,22.3902587890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:07 2024,25.0,22.26605224609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:14 2024,25.0,22.221649169921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:22 2024,25.0,22.26959228515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:29 2024,25.0,22.2999267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:37 2024,25.0,22.273956298828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:44 2024,25.0,22.280364990234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:52 2024,25.0,22.35223388671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:41:59 2024,25.0,22.265594482421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:07 2024,25.0,22.2955322265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:14 2024,25.0,22.251983642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:22 2024,25.0,22.434906005859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:29 2024,25.0,22.311126708984375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:36 2024,25.0,22.1737060546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:44 2024,25.0,22.238800048828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:51 2024,25.0,22.28717041015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:42:58 2024,25.0,22.383026123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:06 2024,25.0,22.307159423828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:13 2024,25.0,22.378631591796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:21 2024,25.0,22.289154052734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:29 2024,25.0,22.3175048828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:36 2024,27.53866219520569,22.345855712890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:42 2024,29.49777587254842,22.35223388671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:48 2024,31.416881322860718,22.262359619140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:43:54 2024,33.339192152023315,22.19287109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:00 2024,35.26810121536255,22.233978271484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:05 2024,37.19714411099752,22.4212646484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:11 2024,39.11944063504537,22.584197998046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:17 2024,41.05833013852437,22.86444091796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:23 2024,42.984049558639526,23.4818115234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:28 2024,44.90635832150777,24.248321533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:34 2024,46.8352993329366,25.276824951171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:40 2024,48.767678658167526,26.3150634765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:46 2024,50.71331262588501,27.616241455078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:52 2024,52.6290644009908,29.134124755859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:57 2024,54.55804785092671,30.802764892578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:03 2024,56.39367469151814,32.59771728515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
