Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-053,inficon_gc,cce83021-7a5a-4c24-a0ef-1e535bf44a5d,1719853794.4033167,0.0,0,75.075,0,74.0925,53.04439163208008,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,25d2f3de-99ae-47d3-b7d2-4402237f8e4d,1719854277.317564,0.0,0,75.075,0,74.0925,214.04580688476562,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,4ca2a097-e95d-4562-893b-138daf762ab4,1719854759.492633,0.0,0,75.075,0,74.0925,374.59674072265625,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,abb1ad4d-2d5a-49cd-ad0c-020001ed8553,1719855243.4430494,0.0,0,75.075,0,74.0925,536.1243896484375,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,534547eb-35c0-4c6f-ba92-3076fcb5ea0a,1719855726.9364357,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,bc4414d0-b733-4596-ae3b-54c3a1ad591b,1719856210.8908176,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,138454c7-fc71-4d73-ad0b-23e17f9789bd,1719856693.2473679,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-053,inficon_gc,7b19fe3b-9cf1-4c76-9b15-11c1f2e1a835,1719858988.6764212,0.0,0,119.119,0,0.0,550.0,1.0,0.0,9,0,0,1,15
24-053,inficon_gc,09674b49-f8c4-4a10-8f44-2842430e8312,1719859320.4819224,0.0,0,119.119,0,0.0,553.4153442382812,1.0,0.0,9,0,0,1,15
24-053,inficon_gc,2f0e50e5-0c7a-4058-9305-be87b5e527ff,1719859653.0255473,0.0,0,119.119,0,0.0,553.4153442382812,1.0,0.0,9,0,0,1,15
24-053,inficon_gc,51b61d61-2320-432a-85aa-fd2dd57da852,1719859985.8858268,0.0,0,119.119,0,0.0,553.4153442382812,1.0,0.0,9,0,0,1,15
24-053,inficon_gc,89af0b48-28a9-47ec-9d1d-1ad3f7022359,1719860318.7858818,0.0,0,119.119,0,0.0,553.4153442382812,1.0,0.0,9,0,0,1,15
24-053,inficon_gc,f68b73ca-8ec4-470e-9d3d-d4aa7cd9d357,1719860650.7847626,0.0,0,119.119,0,0.0,553.4153442382812,1.0,0.0,9,0,0,1,15
