Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Mon Jul 15 14:37:46 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08500000000001,51.64863586425781,24.6708984375,0.0,0,0,0,1,14.9995
Mon Jul 15 14:37:58 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.10000000000001,51.65290832519531,24.768524169921875,0.0,0,0,0,1,14.9995
Mon Jul 15 14:38:05 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,51.64717102050781,24.674835205078125,0.0,0,0,0,1,15.000666666666667
Mon Jul 15 14:38:13 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08500000000001,51.648170471191406,24.655303955078125,0.0,0,0,0,1,15.000666666666667
Mon Jul 15 14:38:20 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.09,0.0,74.08875,51.642333984375,24.622589111328125,0.0,0,0,0,1,15.0005
Mon Jul 15 14:38:27 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08500000000001,51.64968490600586,24.54888916015625,0.0,0,0,0,1,15.0005
Mon Jul 15 14:38:35 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.05999999999999,0.0,74.08125,51.64644241333008,24.60943603515625,0.0,0,0,0,1,14.999666666666668
Mon Jul 15 14:38:42 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.0925,51.64906311035156,24.696319580078125,0.0,0,0,0,1,14.999666666666668
Mon Jul 15 14:38:49 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.08624999999999,0.0,74.0925,51.642913818359375,24.59869384765625,0.0,0,0,0,1,14.998500000000002
Mon Jul 15 14:38:57 2024,24-058,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.05999999999999,0.0,74.08875,51.64933776855469,24.585968017578125,0.0,0,0,0,1,14.998500000000002
