Time,1,2,3,4,5,6
Wed Jul 17 11:34:27 2024,15.0,15.002,14.987,15.006,15.0,15.002
Wed Jul 17 11:35:52 2024,15.0,14.998,14.989,15.0,14.999,15.004
Wed Jul 17 11:36:11 2024,15.056,14.998,14.999,15.002,15.005,15.011
Wed Jul 17 11:36:30 2024,14.995,14.995,15.031,15.017,14.996,14.99
Wed Jul 17 11:36:49 2024,14.998,15.001,14.983,14.994,14.999,15.002
Wed Jul 17 11:37:08 2024,15.003,15.0,15.007,15.005,14.998,15.002
Wed Jul 17 11:37:27 2024,15.002,15.0,15.005,14.988,14.998,15.002
Wed Jul 17 11:37:46 2024,15.003,15.002,14.984,14.991,15.001,14.999
Wed Jul 17 11:38:05 2024,15.002,14.999,14.998,15.002,14.999,14.998
Wed Jul 17 11:38:24 2024,14.997,15.0,14.993,14.997,15.002,15.001
Wed Jul 17 11:38:44 2024,15.005,14.998,15.012,14.98,14.999,14.998
Wed Jul 17 11:39:03 2024,15.002,15.002,14.992,14.994,15.001,15.002
Wed Jul 17 11:39:22 2024,15.008,15.001,14.991,15.009,15.002,15.003
Wed Jul 17 11:39:41 2024,15.002,15.002,14.982,15.002,15.002,15.002
Wed Jul 17 11:40:00 2024,15.003,15.001,14.993,15.0,15.005,15.001
Wed Jul 17 11:41:25 2024,14.997,15.0,14.99,14.998,15.003,15.002
Wed Jul 17 11:41:44 2024,14.998,15.004,14.984,15.012,15.003,15.006
Wed Jul 17 11:42:03 2024,14.998,14.999,14.995,14.997,15.002,15.003
Wed Jul 17 11:42:22 2024,14.998,15.0,15.005,14.998,15.004,14.999
Wed Jul 17 11:42:41 2024,15.009,14.993,15.03,15.004,14.997,14.997
Wed Jul 17 11:43:00 2024,15.002,15.0,15.005,14.992,14.999,14.999
Wed Jul 17 11:43:19 2024,14.998,15.0,14.996,14.998,14.999,15.0
Wed Jul 17 11:43:38 2024,15.002,15.003,14.998,14.997,15.004,15.001
Wed Jul 17 11:43:57 2024,14.998,15.001,15.008,15.009,15.003,14.995
Wed Jul 17 11:44:17 2024,15.003,15.002,14.989,15.0,15.001,15.005
Wed Jul 17 11:44:36 2024,15.006,15.001,14.992,14.998,15.001,14.999
Wed Jul 17 11:44:54 2024,15.0,15.001,14.986,15.009,15.002,15.002
Wed Jul 17 11:45:13 2024,15.0,14.999,15.002,15.002,14.998,14.997
Wed Jul 17 11:45:32 2024,15.003,14.999,15.006,14.997,15.0,14.995
Wed Jul 17 11:47:06 2024,15.006,15.002,15.015,15.005,14.997,14.998
Wed Jul 17 11:47:22 2024,15.003,15.001,15.005,15.008,14.998,14.996
Wed Jul 17 11:47:37 2024,15.0,15.004,14.99,15.006,15.004,15.003
Wed Jul 17 11:47:53 2024,15.0,15.002,14.996,14.996,14.998,15.0
Wed Jul 17 11:48:08 2024,14.997,14.999,14.992,15.001,15.002,15.005
Wed Jul 17 11:48:23 2024,15.0,14.995,15.012,14.999,14.999,15.0
Wed Jul 17 11:48:38 2024,14.998,15.002,15.002,14.986,14.999,15.0
Wed Jul 17 11:48:53 2024,15.006,14.999,14.998,15.008,15.001,15.0
Wed Jul 17 11:49:08 2024,15.0,15.002,15.001,15.001,15.003,15.002
Wed Jul 17 11:49:24 2024,14.981,14.998,15.007,14.996,14.999,15.0
Wed Jul 17 11:49:40 2024,14.998,15.0,15.005,15.001,14.997,15.002
Wed Jul 17 11:50:00 2024,14.995,15.0,14.988,15.009,15.004,15.007
Wed Jul 17 11:50:19 2024,14.992,15.003,14.988,15.002,14.999,15.0
Wed Jul 17 11:50:38 2024,15.002,15.001,14.991,14.997,15.0,15.003
Wed Jul 17 11:50:57 2024,14.994,15.001,14.995,15.008,15.001,15.002
Wed Jul 17 11:51:16 2024,14.988,15.0,14.996,15.001,14.999,14.998
Wed Jul 17 11:51:36 2024,15.0,14.998,14.996,14.998,15.002,15.0
Wed Jul 17 11:51:55 2024,15.0,15.002,14.994,15.011,14.998,15.002
Wed Jul 17 11:52:15 2024,15.008,14.995,14.998,15.002,14.998,15.0
Wed Jul 17 11:52:34 2024,15.002,14.999,14.988,15.002,15.002,15.002
Wed Jul 17 11:53:59 2024,15.005,15.001,14.993,15.016,15.003,15.003
Wed Jul 17 11:54:19 2024,15.003,15.001,14.995,14.997,14.996,15.0
Wed Jul 17 11:54:38 2024,14.997,14.999,14.996,15.001,14.998,14.998
Wed Jul 17 11:54:57 2024,14.994,15.001,15.002,14.996,15.002,15.0
Wed Jul 17 11:55:17 2024,14.998,15.001,14.994,14.999,15.002,14.998
Wed Jul 17 11:55:36 2024,14.997,15.001,14.995,14.995,15.0,14.997
Wed Jul 17 11:55:56 2024,15.006,15.0,15.005,14.998,14.995,14.999
Wed Jul 17 11:56:15 2024,15.008,14.999,14.999,15.001,15.0,15.0
Wed Jul 17 11:56:35 2024,14.998,15.001,14.997,15.01,15.0,15.002
Wed Jul 17 11:56:54 2024,14.998,14.999,15.006,15.001,14.998,15.0
Wed Jul 17 11:57:13 2024,14.989,14.999,15.009,14.998,14.999,14.998
Wed Jul 17 11:57:31 2024,14.998,15.0,15.004,15.002,15.001,14.998
Wed Jul 17 11:57:50 2024,15.002,15.002,14.997,14.992,15.002,14.999
Wed Jul 17 11:58:09 2024,15.002,15.002,14.991,14.998,15.001,15.0
Wed Jul 17 11:59:34 2024,15.003,15.0,15.0,15.002,15.0,15.0
Wed Jul 17 11:59:53 2024,14.995,14.999,14.998,15.03,15.001,15.002
Wed Jul 17 12:00:12 2024,14.998,15.0,15.006,14.984,14.999,15.001
Wed Jul 17 12:00:31 2024,14.997,14.998,15.002,15.004,15.0,14.998
Wed Jul 17 12:00:50 2024,15.0,14.999,15.01,15.012,14.998,14.999
Wed Jul 17 12:01:09 2024,14.998,14.999,15.009,14.993,14.999,14.997
Wed Jul 17 12:01:28 2024,14.998,15.0,14.998,15.011,15.002,15.002
Wed Jul 17 12:01:47 2024,15.003,15.002,14.991,15.001,15.002,15.003
Wed Jul 17 12:02:06 2024,15.002,15.002,14.991,15.009,15.003,15.003
Wed Jul 17 12:02:25 2024,15.0,15.002,14.986,14.995,15.003,15.002
Wed Jul 17 12:02:44 2024,15.002,15.001,14.994,14.999,15.0,14.999
Wed Jul 17 12:03:03 2024,15.002,14.998,15.015,14.993,14.998,14.998
Wed Jul 17 12:03:22 2024,14.998,14.998,15.009,14.998,14.999,15.0
Wed Jul 17 12:03:41 2024,14.995,14.997,15.011,15.002,14.998,14.998
