Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-059-02,inficon_gc,c147f64f-b9c7-44aa-892a-b21b91b2fbbf,1721234145.030088,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-059-02,inficon_gc,2362b3d6-d741-4ab4-9318-305a973e9cf1,1721234478.515389,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-059-02,inficon_gc,226a144e-6c0f-41de-9871-ac418e2ff25a,1721234819.498589,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15
24-059-02,inficon_gc,8b09ea53-b5e4-42aa-9599-707ea59954a9,1721235232.5214539,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-059-02,inficon_gc,581cad9c-6e15-4e2f-83e7-d3d3f7a68f6f,1721235567.260435,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-059-02,inficon_gc,bfe27758-55b8-4c70-a7e6-09cc565a1058,1721235908.659712,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,1,15
24-059-02,inficon_gc,a8497c8b-7f23-4dac-8682-88b855e6f0c3,1721236247.919433,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-059-02,inficon_gc,190ba548-1180-4f65-b7c0-aabc66af33e3,1721236584.018134,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-059-02,inficon_gc,7c342441-ad6b-42fd-8708-5375a9847cb5,1721236924.271835,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,2,15
24-059-02,inficon_gc,64206682-b046-410d-824b-105ae3ebcb47,1721237262.4417639,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-059-02,inficon_gc,ab9137a7-9272-408d-8ea3-212da3cf7c62,1721237603.3318326,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-059-02,inficon_gc,468e54ec-ce83-4afa-b4a5-d89e4a381e99,1721237934.9743023,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,3,15
24-059-02,inficon_gc,3fe7efb1-34b6-4f21-a3bd-472cf5c66e48,1721238268.0425348,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-059-02,inficon_gc,bf2fec81-0a7e-412e-aa19-59b8fed57701,1721238599.4338999,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-059-02,inficon_gc,67c1e8de-c911-4107-8d26-50aecfa161ad,1721238932.0752041,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,4,15
24-059-02,inficon_gc,4e408636-e579-43c1-abdc-0123f7fad659,1721239265.7778547,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-059-02,inficon_gc,adbddcaf-dbee-4567-849b-6215863c93f5,1721239606.4436328,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-059-02,inficon_gc,23f33c1c-3c80-49a0-9145-6d8e36fb2d1a,1721239937.8094487,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,5,15
24-059-02,inficon_gc,41ac7ab0-800e-4665-a3c1-4639f7e13648,1721240273.190635,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
24-059-02,inficon_gc,dfcf3ebb-89b7-4aa4-8ea0-29043386b010,1721240606.7114959,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
24-059-02,inficon_gc,d19942b6-6ca1-4f96-9282-2c3cc78a7c2c,1721240939.4859154,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,3,6,15
