Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Wed Jul 17 11:34:25 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.864375,0.0,75.06375,0.0,0.0,53.76246643066406,26.18115234375,0.0,0,0,0,1,14.9995
Wed Jul 17 11:35:50 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.181875,0.0,75.075,0.0,0.0,53.761085510253906,26.258087158203125,0.0,1,0,0,1,14.998333333333333
Wed Jul 17 11:35:59 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.185624999999995,0.0,75.07124999999999,0.0,0.0,53.75941848754883,26.309783935546875,0.0,1,0,0,1,14.998333333333333
Wed Jul 17 11:36:09 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.18375,0.0,75.07124999999999,0.0,0.0,53.761497497558594,26.151824951171875,0.0,1,0,0,1,15.011833333333334
Wed Jul 17 11:36:18 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.075,0.0,0.0,53.752784729003906,26.262451171875,0.0,1,0,0,1,15.011833333333334
Wed Jul 17 11:36:28 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.181875,0.0,75.07124999999999,0.0,0.0,53.75092315673828,26.217132568359375,0.0,1,0,0,1,15.003999999999998
Wed Jul 17 11:36:37 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.075,0.0,0.0,53.74967956542969,26.264892578125,0.0,1,0,0,1,15.003999999999998
Wed Jul 17 11:36:47 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.1875,0.0,75.07124999999999,0.0,0.0,53.748504638671875,26.284393310546875,0.0,1,0,0,1,14.996166666666666
Wed Jul 17 11:36:56 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.1875,0.0,75.07124999999999,0.0,0.0,53.74631881713867,26.175689697265625,0.0,1,0,0,1,14.996166666666666
Wed Jul 17 11:37:06 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.1875,0.0,75.07124999999999,0.0,0.0,53.7452507019043,26.23419189453125,0.0,1,0,0,1,15.0025
Wed Jul 17 11:37:16 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.075,0.0,0.0,53.74687194824219,26.21075439453125,0.0,1,0,0,1,15.0025
Wed Jul 17 11:37:25 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.1875,0.0,75.07875,0.0,0.0,53.737083435058594,26.301910400390625,0.0,1,0,0,1,14.999166666666667
Wed Jul 17 11:37:35 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.05625,0.0,0.0,53.74386978149414,26.230255126953125,0.0,1,0,0,1,14.999166666666667
Wed Jul 17 11:37:44 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.19125,0.0,75.075,0.0,0.0,53.74015808105469,26.243408203125,0.0,1,0,0,1,14.996666666666668
Wed Jul 17 11:37:54 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.189375000000005,0.0,75.07124999999999,0.0,0.0,53.74040985107422,26.260955810546875,0.0,1,0,0,1,14.996666666666668
Wed Jul 17 11:38:03 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.193125,0.0,75.075,0.0,0.0,53.7388916015625,26.214691162109375,0.0,1,0,0,1,14.999666666666668
Wed Jul 17 11:38:13 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.189375000000005,0.0,75.07124999999999,0.0,0.0,53.738616943359375,26.308258056640625,0.0,1,0,0,1,14.999666666666668
Wed Jul 17 11:38:22 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.189375000000005,0.0,75.07124999999999,0.0,0.0,53.73955154418945,26.247802734375,0.0,1,0,0,1,14.998333333333335
Wed Jul 17 11:38:32 2024,24-059-02,57.2025,0,75.075,0,0,25.0,-1.0,0.0,3,0,0,1,15,57.189375000000005,0.0,75.07875,0.0,0.0,53.739967346191406,26.237091064453125,0.0,1,0,0,1,14.998333333333335
