,Unnamed: 0,Catalyst,Reaction,Tube,Date,Mass Catalyst,Mass Diluent,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn
0,0,Pt1/γ-Al2O3 2/5/24,24-005,1,2024-02-05,20.0,120.2,0.0119512903039725,0.093140911555937,7.793377048583425,7.350753388730267,0.8274393459639386,1,0.0,0.0,0.0,0.0,0.0,0,0
1,1,Pt1/γ-Al2O3 2/5/24,24-005,2,2024-02-05,20.1,120.0,0.0116948462585647,0.138307681994243,11.826378811346336,11.112063336777371,1.239711144695768,1,0.0,0.0,0.0,0.0,0.0,0,0
2,2,Pt1/γ-Al2O3 2/5/24,24-005,3,2024-02-05,20.0,120.0,0.0105220760137722,0.0631628255326537,6.002886260276088,5.522448623106077,0.5906043166912117,1,0.0,0.0,0.0,0.0,0.0,0,0
3,3,Pt1/γ-Al2O3 2/5/24,24-005,4,2024-02-05,20.0,120.0,0.0093525476335304,0.0553204586348565,5.915014903161105,5.288208413595073,0.5408753227840837,1,0.0,0.0,0.0,0.0,0.0,0,0
4,4,Pt1/γ-Al2O3 2/5/24,24-005,5,2024-02-05,20.1,120.2,0.0092630033312847,0.0620636199831625,6.700161682286135,5.974730554403055,0.6089445020937964,1,0.0,0.0,0.0,0.0,0.0,0,0
5,5,Pt1/γ-Al2O3 2/5/24,24-005,6,2024-02-05,19.9,120.2,0.009776706955142,0.0887409261624379,9.076770590506902,8.208013049393076,0.8534557281760535,1,0.0,0.0,0.0,0.0,0.0,0,0
6,6,Pt1Sn4Ca4/Al2O3,24-006,1,2024-02-08,19.9,119.9,0.0006422927223731,0.3223467822811584,501.86896262836007,71.69538263896838,4.8073668362304,1,4.0,0.0,0.0,0.0,4.0,0,0
7,7,Pt1Sn4Ca4/Al2O3,24-006,2,2024-02-08,20.1,120.0,0.0004270409799184,0.3232036220400373,756.8445119758625,73.7262489674259,4.881453749212176,1,4.0,0.0,0.0,0.0,4.0,0,0
8,8,Pt1Sn4Ca4/Al2O3,24-006,3,2024-02-08,20.1,119.9,0.0005268578864323,0.3231082018678409,613.2739210867019,72.84355482267607,4.851427626628718,1,4.0,0.0,0.0,0.0,4.0,0,0
9,9,Pt1Sn4Ca4/Al2O3,24-006,4,2024-02-08,20.0,119.9,0.00056606844118,0.3193554421810806,564.1640108312095,71.66690570081514,4.784058565677642,1,4.0,0.0,0.0,0.0,4.0,0,0
10,10,Pt1Sn4Ca4/Al2O3,24-006,5,2024-02-08,20.0,119.9,0.0004624613527895,0.3254288029181708,703.6886454516266,73.9245682127073,4.9048123042277565,1,4.0,0.0,0.0,0.0,4.0,0,0
11,11,Pt1Sn4Ca4/Al2O3,24-006,6,2024-02-08,20.1,120.1,0.0004317513191251,0.3180658394660367,736.6875916222373,72.5139699178874,4.802521911969564,1,4.0,0.0,0.0,0.0,4.0,0,0
12,12,Pt1Sn4Ca4/Al2O3 wTC,24-007,1,2024-02-12,20.0,119.9,0.0007422643230511,0.3189555164837782,429.7061122009211,70.11841933816483,4.729128530187196,1,4.0,0.0,0.0,0.0,4.0,0,0
13,14,Pt1Sn4Ca4/Al2O3 wTC,24-007,3,2024-02-12,20.0,119.9,0.0005469938362799,0.3267161458167357,597.2940171295056,73.48300129952554,4.899804380546959,1,4.0,0.0,0.0,0.0,4.0,0,0
14,18,Pt1Sn4Ca4/Al2O3 (1.4),24-008,1,2024-02-14,20.0,120.1,0.0005444910355324,0.3263966891825817,599.4528245325516,73.43272108560902,4.89573253354498,1,4.0,0.0,0.0,0.0,4.0,0,0
15,24,Pt1Sn4Cu4/Al2O3,24-009,1,2024-02-16,19.9,120.0,0.001115561527213,0.3245698643116549,290.94752408907766,68.34046400736375,4.709697987118238,1,4.0,0.0,0.0,4.0,0.0,0,0
16,25,Pt1Sn4Ga4/Al2O3,24-009,2,2024-02-16,20.1,120.1,0.0013305424439535,0.2559950582661182,192.39901697946647,52.5950448393678,3.669342116533025,1,4.0,4.0,0.0,0.0,0.0,0,0
17,26,Pt1Sn4Fe4/Al2O3,24-009,3,2024-02-16,20.0,120.0,0.0015004368558375,0.2829073046882857,188.5499570259199,57.01690708556181,4.016279311158366,1,4.0,0.0,4.0,0.0,0.0,0,0
18,27,Pt1Ga4Cu4/Al2O3,24-009,4,2024-02-16,20.1,120.0,0.0049884888308748,0.0680714331188575,13.645702220990929,9.52432536022642,0.8051921986463181,1,0.0,4.0,0.0,4.0,0.0,0,0
19,28,Pt1Ga4Fe4/Al2O3,24-009,5,2024-02-16,20.1,120.1,0.005174767250647,0.1161826641528096,22.45176614238689,15.967198526956512,1.3620248396848809,1,0.0,4.0,4.0,0.0,0.0,0,0
20,29,Pt1Ga4Ca4/Al2O3,24-009,6,2024-02-16,20.0,120.1,0.0027216304617488,0.1675988102097966,61.58029628390552,29.534992557563704,2.224866200966448,1,0.0,4.0,0.0,0.0,4.0,0,0
21,30,Pt1Cu4Ca4/Al2O3,24-010,1,2024-02-19,20.1,119.9,0.001985973696652,0.2576636199396211,129.7417082481966,49.18898419583318,3.560085915964837,1,0.0,0.0,0.0,4.0,4.0,0,0
22,31,Pt1Fe4Cu4/Al2O3,24-010,2,2024-02-19,20.1,120.1,0.0060955166276035,0.145620301286176,23.889738997140046,18.35787380116712,1.6350165485093886,1,0.0,0.0,4.0,4.0,0.0,0,0
